Disease,MMWR year,MMWR week,Current week
Hantavirus pulmonary syndrome¶ ,2018,9,
"Viral hemorrhagic fever***, Sabia virus",2018,9,
"Hepatitis B, perinatal infection",2018,9,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,9,
Smallpox,2018,9,
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,9,
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,9,
Trichinellosis¶,2018,9,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,9,
"Rabies, human",2018,9,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,9,
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,9,
Cholera,2018,9,
"Botulism, foodborne",2018,9,
"Botulism, infant",2018,9,
"Meningococcal disease, Serogroups ACWY",2018,9,
Brucellosis,2018,9,
Measles††,2018,9,
"Q fever¶, total",2018,9,1
Anthrax,2018,9,
"Viral hemorrhagic fevers***, Ebola virus ",2018,9,
"Botulism, other (wound and unspecified)",2018,9,
Psittacosis¶,2018,9,
Novel Influenza A virus infections§§,2018,9,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,9,
"Syphilis, congenital",2018,9,
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,9,
Plague,2018,9,
Typhoid fever ,2018,9,2
"Q fever¶, acute",2018,9,
Vancomycin-intermediate Staphylococcus aureus¶,2018,9,1
"Meningococcal disease, Other serogroups",2018,9,
"Viral hemorrhagic fevers***, Junin virus",2018,9,
Yellow fever,2018,9,
Listeriosis,2018,10,6
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,10,
Diphtheria,2018,10,
"Meningococcal disease, Unknown serogroup",2018,10,
"Syphilis, congenital",2018,10,
Tularemia,2018,10,
"Rabies, human",2018,10,
Brucellosis,2018,10,2
Leptospirosis¶,2018,10,
Cholera,2018,10,
"Botulism, total",2018,10,2
"Meningococcal disease, Serogroups ACWY",2018,10,
Trichinellosis¶,2018,10,
Typhoid fever ,2018,10,2
"Viral hemorrhagic fever***, Marburg virus",2018,10,
"Viral hemorrhagic fever***, Sabia virus",2018,10,
"Meningococcal disease, Other serogroups",2018,10,
"Viral hemorrhagic fevers***, Junin virus",2018,10,
"Hepatitis B, perinatal infection",2018,10,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,10,
Plague,2018,10,
Chancroid,2018,10,
Hantavirus pulmonary syndrome¶ ,2018,10,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,10,
Vancomycin-resistant Staphylococcus aureus¶,2018,10,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,10,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,10,
"Q fever¶, chronic",2018,10,
"Viral hemorrhagic fevers***, Lassa virus",2018,10,
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,10,
Anthrax,2018,10,
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,10,
"Q fever¶, total",2018,10,1
Yellow fever,2018,10,
"Viral hemorrhagic fevers***, Ebola virus ",2018,10,
"Botulism, other (wound and unspecified)",2018,10,
Paratyphoid fever¶¶,2018,10,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,10,1
"Meningococcal disease, Serogroup B",2018,10,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,10,
"Q fever¶, acute",2018,10,1
"Poliomyelitis, paralytic",2018,10,
Vancomycin-intermediate Staphylococcus aureus¶,2018,10,
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,10,
"Botulism, infant",2018,10,2
Hansen's disease¶,2018,10,
"Viral hemorrhagic fevers***, Guanarito virus",2018,10,
"Viral hemorrhagic fevers***, Lujo virus",2018,10,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,10,
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,10,6
Streptococcal toxic-shock syndrome¶,2018,10,2
"Polio virus Infection, nonparalytic¶",2018,10,
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,10,
Measles††,2018,10,1
Toxic-shock syndrome (other than Streptococcal)¶,2018,10,
"Viral hemorrhagic fevers***, Machupo virus",2018,10,
Psittacosis¶,2018,10,
"Influenza-associated pediatric mortality¶,**",2018,10,9
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,10,
Novel Influenza A virus infections§§,2018,10,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,10,
Cyclosporiasis¶,2018,10,
Smallpox,2018,10,
"Botulism, foodborne",2018,10,
Streptococcal toxic-shock syndrome¶,2018,11,2
Listeriosis,2018,11,3
"Botulism, total",2018,11,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,11,
"Viral hemorrhagic fevers***, Lassa virus",2018,11,
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,11,
"Meningococcal disease, Other serogroups",2018,11,
Leptospirosis¶,2018,11,1
"Botulism, foodborne",2018,11,
Yellow fever,2018,11,
Cyclosporiasis¶,2018,11,
Chancroid,2018,11,
Hantavirus pulmonary syndrome¶ ,2018,11,
"Polio virus Infection, nonparalytic¶",2018,11,
"Q fever¶, total",2018,11,
Smallpox,2018,11,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,11,
"Rabies, human",2018,11,
Anthrax,2018,11,
"Viral hemorrhagic fevers***, Ebola virus ",2018,11,
Vancomycin-resistant Staphylococcus aureus¶,2018,11,
Plague,2018,11,
"Syphilis, congenital",2018,11,
Vancomycin-intermediate Staphylococcus aureus¶,2018,11,
"Viral hemorrhagic fevers***, Machupo virus",2018,11,
"Botulism, other (wound and unspecified)",2018,11,
Paratyphoid fever¶¶,2018,11,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,11,5
"Viral hemorrhagic fevers***, Lujo virus",2018,11,
"Botulism, infant",2018,11,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,11,
"Viral hemorrhagic fevers***, Guanarito virus",2018,11,
Trichinellosis¶,2018,11,
Toxic-shock syndrome (other than Streptococcal)¶,2018,11,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,11,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,11,
Cholera,2018,11,
Hansen's disease¶,2018,11,
Novel Influenza A virus infections§§,2018,11,
Measles††,2018,11,2
Brucellosis,2018,11,1
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,11,
Diphtheria,2018,11,
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,11,4
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,11,1
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,11,
"Viral hemorrhagic fevers***, Junin virus",2018,11,
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,11,
"Hepatitis B, perinatal infection",2018,11,
"Influenza-associated pediatric mortality¶,**",2018,11,5
"Q fever¶, chronic",2018,11,
"Poliomyelitis, paralytic",2018,11,
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,11,
"Viral hemorrhagic fever***, Marburg virus",2018,11,
"Meningococcal disease, Serogroup B",2018,11,
Typhoid fever ,2018,11,1
"Meningococcal disease, Unknown serogroup",2018,11,4
"Viral hemorrhagic fever***, Sabia virus",2018,11,
"Meningococcal disease, Serogroups ACWY",2018,11,2
"Hemolytic uremic syndrome, postdiarrheal¶",2018,11,1
"Q fever¶, acute",2018,11,
Tularemia,2018,11,
Psittacosis¶,2018,11,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,11,
Yellow fever,2018,12,
"Polio virus Infection, nonparalytic¶",2018,12,
Leptospirosis¶,2018,12,2
Hantavirus pulmonary syndrome¶ ,2018,12,
"Viral hemorrhagic fevers***, Lassa virus",2018,12,
"Meningococcal disease, Unknown serogroup",2018,12,3
"Viral hemorrhagic fever***, Sabia virus",2018,12,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,12,
"Viral hemorrhagic fevers***, Ebola virus ",2018,12,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,12,
Typhoid fever ,2018,12,
Tularemia,2018,12,
Cyclosporiasis¶,2018,12,
Toxic-shock syndrome (other than Streptococcal)¶,2018,12,2
Vancomycin-resistant Staphylococcus aureus¶,2018,12,
"Botulism, foodborne",2018,12,
Novel Influenza A virus infections§§,2018,12,
Measles††,2018,12,1
Anthrax,2018,12,
"Viral hemorrhagic fevers***, Machupo virus",2018,12,
"Botulism, other (wound and unspecified)",2018,12,
"Influenza-associated pediatric mortality¶,**",2018,12,4
Listeriosis,2018,12,3
"Hemolytic uremic syndrome, postdiarrheal¶",2018,12,
"Botulism, total",2018,12,
"Viral hemorrhagic fevers***, Lujo virus",2018,12,
Brucellosis,2018,12,1
"Viral hemorrhagic fevers***, Junin virus",2018,12,
"Q fever¶, total",2018,12,
"Meningococcal disease, Other serogroups",2018,12,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,12,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,12,
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,12,4
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,12,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,12,
"Rabies, human",2018,12,
Cholera,2018,12,
Chancroid,2018,12,
Hansen's disease¶,2018,12,
Vancomycin-intermediate Staphylococcus aureus¶,2018,12,
"Viral hemorrhagic fever***, Marburg virus",2018,12,
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,12,1
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,12,
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,12,
"Q fever¶, chronic",2018,12,
"Q fever¶, acute",2018,12,
"Viral hemorrhagic fevers***, Guanarito virus",2018,12,
Plague,2018,12,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,12,
"Poliomyelitis, paralytic",2018,12,
Streptococcal toxic-shock syndrome¶,2018,12,
Diphtheria,2018,12,
"Syphilis, congenital",2018,12,
"Hepatitis B, perinatal infection",2018,12,
"Botulism, infant",2018,12,
Smallpox,2018,12,
Paratyphoid fever¶¶,2018,12,
"Meningococcal disease, Serogroup B",2018,12,1
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,12,
Trichinellosis¶,2018,12,
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,12,
"Meningococcal disease, Serogroups ACWY",2018,12,
Psittacosis¶,2018,12,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,12,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,13,
Yellow fever,2018,13,
Anthrax,2018,13,
Vancomycin-intermediate Staphylococcus aureus¶,2018,13,2
Toxic-shock syndrome (other than Streptococcal)¶,2018,13,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,13,
Cyclosporiasis¶,2018,13,
"Viral hemorrhagic fever***, Marburg virus",2018,13,
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,13,
"Meningococcal disease, Unknown serogroup",2018,13,2
Leptospirosis¶,2018,13,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,13,1
"Poliomyelitis, paralytic",2018,13,
"Botulism, foodborne",2018,13,
Listeriosis,2018,13,8
"Botulism, other (wound and unspecified)",2018,13,
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,13,
"Rabies, human",2018,13,
Cholera,2018,13,
Brucellosis,2018,13,
"Syphilis, congenital",2018,13,
"Viral hemorrhagic fevers***, Machupo virus",2018,13,
"Q fever¶, chronic",2018,13,1
"Viral hemorrhagic fever***, Sabia virus",2018,13,
Measles††,2018,13,
"Viral hemorrhagic fevers***, Junin virus",2018,13,
Chancroid,2018,13,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,13,
"Influenza-associated pediatric mortality¶,**",2018,13,5
"Viral hemorrhagic fevers***, Guanarito virus",2018,13,
Tularemia,2018,13,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,13,
"Meningococcal disease, Other serogroups",2018,13,
Paratyphoid fever¶¶,2018,13,1
"Meningococcal disease, Serogroup B",2018,13,
Smallpox,2018,13,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,13,
Plague,2018,13,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,13,
Trichinellosis¶,2018,13,
Hantavirus pulmonary syndrome¶ ,2018,13,
Streptococcal toxic-shock syndrome¶,2018,13,4
"Hepatitis B, perinatal infection",2018,13,
Vancomycin-resistant Staphylococcus aureus¶,2018,13,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,13,3
"Q fever¶, acute",2018,13,
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,13,
Psittacosis¶,2018,13,
Typhoid fever ,2018,13,1
"Viral hemorrhagic fevers***, Ebola virus ",2018,13,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,13,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,13,
Diphtheria,2018,13,
"Viral hemorrhagic fevers***, Lassa virus",2018,13,
"Botulism, total",2018,13,
"Q fever¶, total",2018,13,1
Novel Influenza A virus infections§§,2018,13,
"Botulism, infant",2018,13,
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,13,
Hansen's disease¶,2018,13,
"Viral hemorrhagic fevers***, Lujo virus",2018,13,
"Meningococcal disease, Serogroups ACWY",2018,13,1
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,13,4
"Polio virus Infection, nonparalytic¶",2018,13,
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,14,
"Viral hemorrhagic fevers***, Lujo virus",2018,14,
"Viral hemorrhagic fevers***, Junin virus",2018,14,
Tularemia,2018,14,1
Paratyphoid fever¶¶,2018,14,1
Novel Influenza A virus infections§§,2018,14,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,14,
"Hepatitis B, perinatal infection",2018,14,
"Viral hemorrhagic fevers***, Guanarito virus",2018,14,
Streptococcal toxic-shock syndrome¶,2018,14,2
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,14,
Trichinellosis¶,2018,14,
"Q fever¶, chronic",2018,14,1
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,14,8
"Botulism, foodborne",2018,14,
"Polio virus Infection, nonparalytic¶",2018,14,
"Viral hemorrhagic fevers***, Ebola virus ",2018,14,
"Syphilis, congenital",2018,14,
"Influenza-associated pediatric mortality¶,**",2018,14,9
"Viral hemorrhagic fevers***, Lassa virus",2018,14,
Measles††,2018,14,1
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,14,
"Q fever¶, total",2018,14,1
Brucellosis,2018,14,
Cyclosporiasis¶,2018,14,
Vancomycin-intermediate Staphylococcus aureus¶,2018,14,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,14,
"Rabies, human",2018,14,
Chancroid,2018,14,
"Meningococcal disease, Serogroups ACWY",2018,14,2
"Viral hemorrhagic fevers***, Machupo virus",2018,14,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,14,
"Botulism, other (wound and unspecified)",2018,14,
Diphtheria,2018,14,
Leptospirosis¶,2018,14,
"Meningococcal disease, Other serogroups",2018,14,
"Botulism, total",2018,14,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,14,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,14,1
"Viral hemorrhagic fever***, Sabia virus",2018,14,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,14,
Cholera,2018,14,
"Poliomyelitis, paralytic",2018,14,
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,14,2
Listeriosis,2018,14,2
"Meningococcal disease, Unknown serogroup",2018,14,1
Plague,2018,14,
Toxic-shock syndrome (other than Streptococcal)¶,2018,14,1
"Q fever¶, acute",2018,14,
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,14,
Typhoid fever ,2018,14,1
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,14,
Smallpox,2018,14,
Hantavirus pulmonary syndrome¶ ,2018,14,
Hansen's disease¶,2018,14,
Psittacosis¶,2018,14,
Anthrax,2018,14,
"Meningococcal disease, Serogroup B",2018,14,1
"Viral hemorrhagic fever***, Marburg virus",2018,14,
"Botulism, infant",2018,14,
Yellow fever,2018,14,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,14,
Vancomycin-resistant Staphylococcus aureus¶,2018,14,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,14,
Anthrax,2018,15,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,15,
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,15,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,15,
"Viral hemorrhagic fevers***, Ebola virus ",2018,15,
"Viral hemorrhagic fever***, Marburg virus",2018,15,
Yellow fever,2018,15,
Vancomycin-resistant Staphylococcus aureus¶,2018,15,
"Viral hemorrhagic fevers***, Machupo virus",2018,15,
"Botulism, other (wound and unspecified)",2018,15,
Smallpox,2018,15,
"Meningococcal disease, Other serogroups",2018,15,1
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,15,1
"Meningococcal disease, Unknown serogroup",2018,15,1
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,15,4
Trichinellosis¶,2018,15,
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,15,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,15,
"Rabies, human",2018,15,
Diphtheria,2018,15,
Cholera,2018,15,
"Botulism, infant",2018,15,1
"Q fever¶, chronic",2018,15,
Hansen's disease¶,2018,15,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,15,2
Paratyphoid fever¶¶,2018,15,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,15,1
"Influenza-associated pediatric mortality¶,**",2018,15,5
Measles††,2018,15,1
Listeriosis,2018,15,5
Streptococcal toxic-shock syndrome¶,2018,15,8
Toxic-shock syndrome (other than Streptococcal)¶,2018,15,
Vancomycin-intermediate Staphylococcus aureus¶,2018,15,
"Viral hemorrhagic fevers***, Lujo virus",2018,15,
Plague,2018,15,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,15,
Chancroid,2018,15,1
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,15,
"Q fever¶, total",2018,15,
Hantavirus pulmonary syndrome¶ ,2018,15,
Brucellosis,2018,15,1
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,15,1
"Syphilis, congenital",2018,15,
"Meningococcal disease, Serogroup B",2018,15,1
"Poliomyelitis, paralytic",2018,15,
Psittacosis¶,2018,15,
Novel Influenza A virus infections§§,2018,15,
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,15,
"Viral hemorrhagic fever***, Sabia virus",2018,15,
"Meningococcal disease, Serogroups ACWY",2018,15,
Tularemia,2018,15,1
"Polio virus Infection, nonparalytic¶",2018,15,
"Hepatitis B, perinatal infection",2018,15,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,15,
"Viral hemorrhagic fevers***, Guanarito virus",2018,15,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,15,
"Viral hemorrhagic fevers***, Lassa virus",2018,15,
"Q fever¶, acute",2018,15,
Typhoid fever ,2018,15,3
"Botulism, foodborne",2018,15,
Cyclosporiasis¶,2018,15,
"Viral hemorrhagic fevers***, Junin virus",2018,15,
Leptospirosis¶,2018,15,
"Botulism, total",2018,15,1
Hantavirus pulmonary syndrome¶ ,2018,16,
"Viral hemorrhagic fever***, Marburg virus",2018,16,
"Botulism, total",2018,16,
"Meningococcal disease, Serogroup B",2018,16,
Vancomycin-resistant Staphylococcus aureus¶,2018,16,
"Q fever¶, chronic",2018,16,1
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,16,
Yellow fever,2018,16,
Toxic-shock syndrome (other than Streptococcal)¶,2018,16,
"Hepatitis B, perinatal infection",2018,16,
Cholera,2018,16,
Vancomycin-intermediate Staphylococcus aureus¶,2018,16,2
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,16,
"Viral hemorrhagic fevers***, Lassa virus",2018,16,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,16,1
"Viral hemorrhagic fever***, Sabia virus",2018,16,
"Viral hemorrhagic fevers***, Machupo virus",2018,16,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,16,
Anthrax,2018,16,
"Viral hemorrhagic fevers***, Ebola virus ",2018,16,
"Q fever¶, total",2018,16,2
"Botulism, infant",2018,16,
"Meningococcal disease, Unknown serogroup",2018,16,2
Smallpox,2018,16,
"Botulism, foodborne",2018,16,
Novel Influenza A virus infections§§,2018,16,
Leptospirosis¶,2018,16,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,16,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,16,
Psittacosis¶,2018,16,
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,16,
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,16,2
Hansen's disease¶,2018,16,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,16,
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,16,
"Viral hemorrhagic fevers***, Guanarito virus",2018,16,
"Q fever¶, acute",2018,16,1
Paratyphoid fever¶¶,2018,16,1
"Meningococcal disease, Other serogroups",2018,16,2
Typhoid fever ,2018,16,2
"Syphilis, congenital",2018,16,
"Rabies, human",2018,16,
"Polio virus Infection, nonparalytic¶",2018,16,
Diphtheria,2018,16,
Tularemia,2018,16,2
Trichinellosis¶,2018,16,
"Botulism, other (wound and unspecified)",2018,16,
Plague,2018,16,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,16,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,16,2
"Viral hemorrhagic fevers***, Lujo virus",2018,16,
Measles††,2018,16,
"Meningococcal disease, Serogroups ACWY",2018,16,
Streptococcal toxic-shock syndrome¶,2018,16,3
"Viral hemorrhagic fevers***, Junin virus",2018,16,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,16,2
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,16,1
"Poliomyelitis, paralytic",2018,16,
"Influenza-associated pediatric mortality¶,**",2018,16,4
Brucellosis,2018,16,1
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,16,
Chancroid,2018,16,
Listeriosis,2018,16,6
Cyclosporiasis¶,2018,16,2
"Hepatitis B, perinatal infection",2018,17,
"Syphilis, congenital",2018,17,
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,17,
Novel Influenza A virus infections§§,2018,17,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,17,
Brucellosis,2018,17,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,17,
Psittacosis¶,2018,17,
"Botulism, total",2018,17,
"Botulism, infant",2018,17,
"Meningococcal disease, Serogroups ACWY",2018,17,1
"Viral hemorrhagic fever***, Sabia virus",2018,17,
Yellow fever,2018,17,
Paratyphoid fever¶¶,2018,17,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,17,
"Meningococcal disease, Other serogroups",2018,17,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,17,1
"Q fever¶, chronic",2018,17,
"Viral hemorrhagic fever***, Marburg virus",2018,17,
"Meningococcal disease, Unknown serogroup",2018,17,3
Hantavirus pulmonary syndrome¶ ,2018,17,
Listeriosis,2018,17,3
"Viral hemorrhagic fevers***, Machupo virus",2018,17,
Typhoid fever ,2018,17,1
"Influenza-associated pediatric mortality¶,**",2018,17,3
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,17,1
Cyclosporiasis¶,2018,17,1
Smallpox,2018,17,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,17,2
"Rabies, human",2018,17,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,17,
"Meningococcal disease, Serogroup B",2018,17,
Trichinellosis¶,2018,17,
Leptospirosis¶,2018,17,
"Viral hemorrhagic fevers***, Guanarito virus",2018,17,
Tularemia,2018,17,
Hansen's disease¶,2018,17,
"Viral hemorrhagic fevers***, Ebola virus ",2018,17,
Measles††,2018,17,3
Plague,2018,17,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,17,
"Polio virus Infection, nonparalytic¶",2018,17,
"Botulism, other (wound and unspecified)",2018,17,
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,17,5
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,17,
Diphtheria,2018,17,
"Viral hemorrhagic fevers***, Lassa virus",2018,17,
"Q fever¶, total",2018,17,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,17,
Cholera,2018,17,
Chancroid,2018,17,
"Q fever¶, acute",2018,17,
Anthrax,2018,17,
"Viral hemorrhagic fevers***, Junin virus",2018,17,
"Botulism, foodborne",2018,17,
Streptococcal toxic-shock syndrome¶,2018,17,1
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,17,
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,17,
Vancomycin-intermediate Staphylococcus aureus¶,2018,17,
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,17,1
Toxic-shock syndrome (other than Streptococcal)¶,2018,17,
"Viral hemorrhagic fevers***, Lujo virus",2018,17,
Vancomycin-resistant Staphylococcus aureus¶,2018,17,
"Poliomyelitis, paralytic",2018,17,
Brucellosis,2018,18,1
Psittacosis¶,2018,18,
