 Reporting Area,MMWR Year,MMWR Week,"Giardiasis, Current week","Giardiasis, Current week, flag","Giardiasis, Previous 52 weeks Med","Giardiasis, Previous 52 weeks Med, flag","Giardiasis, Previous 52 weeks Max","Giardiasis, Previous 52 weeks Max, flag","Giardiasis, Cum 2018","Giardiasis, Cum 2018, flag","Giardiasis, Cum 2017","Giardiasis, Cum 2017, flag","Gonorrhea,Current week","Gonorrhea,Current week, flag","Gonorrhea,Previous 52 weeks Med","Gonorrhea,Previous 52 weeks Med, flag","Gonorrhea, Previous 52 weeks Max","Gonorrhea, Previous 52 weeks Max, flag","Gonorrhea, Cum 2018","Gonorrhea, Cum 2018, flag","Gonorrhea, Cum 2017","Gonorrhea, Cum 2017, flag","Haemophilus influenzae, invasive disease (all ages, all serotypes), Current week","Haemophilus influenzae, invasive disease (all ages, all serotypes), Current week, flag","Haemophilus influenzae, invasive disease (all ages, all serotypes), Previous 52 weeks Med","Haemophilus influenzae, invasive disease (all ages, all serotypes), Previous 52 weeks Med, flag","Haemophilus influenzae, invasive disease (all ages, all serotypes), Previous 52 weeks Max","Haemophilus influenzae, invasive disease (all ages, all serotypes), Previous 52 weeks Max, flag","Haemophilus influenzae, invasive disease (all ages, all serotypes), all serotypes, Cum 2018","Haemophilus influenzae, invasive disease (all ages, all serotypes), Cum 2018, flag","Haemophilus influenzae, invasive disease (all ages, all serotypes), Cum 2017","Haemophilus influenzae, invasive disease (all ages, all serotypes), Cum 2017, flag",Location 1,Location 2
IDAHO,2018,9,2,,2,,9,,12,,22,,,-,18,,39,,48,,147,,,-,0,,2,,4,,6,,"IDAHO
(43.680635, -114.364237)",
W.N. CENTRAL,2018,9,7,,14,,31,,89,,141,,343,,606,,794,,4440,,5115,,1,,5,,13,,41,,62,,,
MISSOURI,2018,9,2,,4,,13,,29,,44,,218,,256,,347,,2478,,2091,,1,,2,,10,,31,,31,,"MISSOURI
(38.636168, -92.566292)",
C.N.M.I.,2018,9,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
PUERTO RICO,2018,9,,-,0,,1,,,-,2,,,-,9,,25,,39,,125,,,-,0,,2,,,-,1,,"PUERTO RICO
(18.215692, -66.414655)",
MASSACHUSETTS,2018,9,,-,10,,22,,57,,80,,83,,157,,202,,1302,,1042,,,-,2,,10,,27,,28,,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW JERSEY,2018,9,,-,3,,15,,16,,61,,77,,178,,252,,1208,,1501,,,-,3,,7,,17,,21,,"NEW JERSEY
(40.104655, -74.386686)",
CONNECTICUT,2018,9,,-,4,,9,,23,,31,,,-,71,,122,,,-,540,,,-,1,,6,,5,,10,,"CONNECTICUT
(41.544654, -72.651713)",
MAINE,2018,9,,-,2,,7,,8,,7,,,-,0,,32,,,-,90,,,-,0,,2,,6,,7,,"MAINE
(45.252223, -68.986647)",
NEW YORK,2018,9,9,,35,,54,,217,,264,,159,,210,,376,,1667,,1600,,4,,4,,24,,32,,29,,"NEW YORK
(42.826892, -75.544286)",
UTAH,2018,9,2,,3,,11,,32,,27,,26,,47,,176,,385,,394,,,-,1,,4,,10,,16,,"UTAH
(39.359772, -111.584173)",
IOWA,2018,9,,-,4,,15,,19,,36,,30,,69,,98,,595,,534,,,-,0,,1,,,-,,-,"IOWA
(42.46942, -93.815856)",
DIST. OF COL.,2018,9,,-,0,,2,,2,,5,,,-,84,,207,,652,,541,,,-,0,,1,,1,,3,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
WISCONSIN,2018,9,1,,9,,44,,64,,37,,96,,153,,209,,1130,,1227,,,-,1,,4,,,-,24,,"WISCONSIN
(44.395526, -89.834513)",
COLORADO,2018,9,,-,10,,19,,,-,78,,193,,164,,260,,1386,,1261,,,-,1,,5,,,-,18,,"COLORADO
(38.841772, -106.132562)",
NEW MEXICO,2018,9,,-,1,,6,,2,,16,,7,,83,,167,,408,,678,,1,,1,,4,,8,,13,,"NEW MEXICO
(34.520396, -106.244402)",
NEVADA,2018,9,,-,1,,3,,2,,8,,1,,92,,121,,13,,751,,,-,0,,3,,3,,9,,"NEVADA
(39.491833, -117.070159)",
RHODE ISLAND,2018,9,1,,1,,3,,3,,5,,,-,17,,108,,94,,55,,,-,0,,7,,1,,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NORTH CAROLINA,2018,9,,-,0,,0,,,-,,-,1,,432,,511,,1969,,3711,,,-,3,,12,,28,,45,,"NORTH CAROLINA
(35.47995, -79.180571)",
MICHIGAN,2018,9,2,,9,,33,,34,,76,,37,,285,,359,,1382,,2390,,1,,3,,9,,24,,35,,"MICHIGAN
(44.66399, -84.711206)",
VIRGIN ISL.,2018,9,,-,0,,0,,,-,,-,,-,0,,3,,,-,4,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
KANSAS,2018,9,,-,2,,5,,13,,16,,44,,88,,115,,715,,693,,,-,1,,5,,3,,13,,"KANSAS
(38.345528, -98.201847)",
VIRGINIA,2018,9,4,,5,,28,,44,,24,,214,,240,,352,,1842,,1817,,,-,3,,18,,12,,20,,"VIRGINIA
(37.542699, -78.45822)",
ILLINOIS,2018,9,,N,0,,0,,,N,,N,23,,416,,541,,1353,,3827,,,-,4,,11,,1,,43,,"ILLINOIS
(40.477092, -88.993221)",
OREGON,2018,9,7,,6,,16,,55,,29,,120,,99,,149,,1016,,810,,,-,2,,7,,21,,23,,"OREGON
(44.567912, -120.156945)",
TENNESSEE,2018,9,,N,0,,0,,,N,,N,103,,232,,323,,591,,2199,,,-,3,,11,,32,,34,,"TENNESSEE
(35.681402, -85.774444)",
NEW ENGLAND,2018,10,5,,19,,41,,106,,150,,,-,261,,351,,1413,,2134,,,-,5,,20,,53,,51,,,
LOUISIANA,2018,10,2,,0,,8,,2,,9,,188,,210,,332,,1505,,1977,,1,,1,,5,,24,,20,,"LOUISIANA
(31.2931, -92.463284)",
PACIFIC,2018,10,11,,68,,160,,244,,503,,411,,1741,,2119,,15657,,16555,,1,,4,,10,,50,,49,,,
NORTH CAROLINA,2018,10,,-,0,,0,,,-,,-,,-,434,,511,,2551,,4104,,,-,3,,12,,35,,47,,"NORTH CAROLINA
(35.47995, -79.180571)",
OHIO,2018,10,,-,6,,27,,78,,68,,,-,450,,544,,3488,,4394,,,-,5,,13,,52,,41,,"OHIO
(40.056807, -82.405897)",
AMER. SAMOA,2018,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
NEVADA,2018,10,,-,0,,3,,2,,8,,,-,104,,141,,16,,935,,,-,0,,3,,3,,10,,"NEVADA
(39.491833, -117.070159)",
PENNSYLVANIA,2018,10,,-,10,,22,,61,,79,,194,,294,,337,,2737,,4491,,1,,5,,14,,52,,68,,"PENNSYLVANIA
(40.789676, -77.858055)",
W.N. CENTRAL,2018,10,6,,14,,32,,109,,157,,245,,628,,787,,6124,,5646,,1,,5,,13,,43,,68,,,
VERMONT,2018,10,,N,0,,0,,,N,,N,,-,3,,14,,,-,42,,,-,0,,2,,3,,2,,"VERMONT
(43.622479, -72.51927)",
NEBRASKA,2018,10,3,,2,,6,,22,,26,,15,,51,,84,,430,,444,,,-,1,,3,,4,,12,,"NEBRASKA
(41.640503, -99.367122)",
VIRGINIA,2018,10,3,,5,,28,,49,,34,,201,,240,,352,,2043,,1983,,2,,3,,18,,16,,23,,"VIRGINIA
(37.542699, -78.45822)",
MAINE,2018,10,3,,2,,7,,11,,9,,,-,0,,32,,,-,94,,,-,0,,2,,6,,9,,"MAINE
(45.252223, -68.986647)",
DIST. OF COL.,2018,10,,-,0,,2,,2,,5,,76,,84,,207,,792,,648,,,-,0,,1,,1,,3,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
FLORIDA,2018,10,,-,17,,32,,109,,189,,307,,631,,849,,5208,,5587,,11,,6,,14,,88,,49,,"FLORIDA
(28.915325, -81.922409)",
W.S. CENTRAL,2018,10,4,,4,,14,,21,,25,,304,,1356,,1725,,8247,,12996,,13,,11,,65,,118,,114,,,
IOWA,2018,10,,-,4,,15,,28,,42,,23,,70,,98,,684,,582,,,-,0,,1,,,-,,-,"IOWA
(42.46942, -93.815856)",
MICHIGAN,2018,10,1,,9,,33,,40,,81,,43,,290,,391,,1703,,2674,,,-,3,,9,,26,,37,,"MICHIGAN
(44.66399, -84.711206)",
PUERTO RICO,2018,10,,-,0,,1,,,-,2,,5,,10,,25,,57,,139,,,-,0,,2,,,-,1,,"PUERTO RICO
(18.215692, -66.414655)",
NORTH DAKOTA,2018,10,,-,0,,4,,6,,4,,,-,16,,27,,92,,131,,,-,0,,2,,2,,3,,"NORTH DAKOTA
(47.475879, -100.121011)",
ALASKA,2018,10,1,,1,,7,,4,,9,,,-,40,,60,,14,,376,,,-,0,,2,,2,,3,,"ALASKA
(64.836661, -147.738891)",
MOUNTAIN,2018,10,6,,22,,44,,98,,217,,70,,668,,989,,3955,,5802,,3,,8,,13,,67,,118,,,
MISSISSIPPI,2018,10,,N,0,,0,,,N,,N,107,,180,,336,,1151,,1133,,3,,1,,5,,24,,14,,"MISSISSIPPI
(32.738663, -89.537312)",
ARKANSAS,2018,10,2,,3,,7,,19,,16,,,-,85,,338,,1,,670,,5,,1,,11,,14,,17,,"ARKANSAS
(34.748745, -92.275105)",
SOUTH DAKOTA,2018,10,,-,2,,4,,3,,19,,,-,20,,36,,168,,235,,,-,0,,3,,1,,5,,"SOUTH DAKOTA
(44.35371, -100.373709)",
INDIANA,2018,10,,-,3,,8,,15,,22,,85,,224,,302,,2018,,2107,,,-,3,,9,,28,,21,,"INDIANA
(39.76845, -86.156212)",
MISSOURI,2018,10,3,,4,,14,,35,,50,,158,,256,,343,,2706,,2302,,1,,2,,10,,33,,35,,"MISSOURI
(38.636168, -92.566292)",
DELAWARE,2018,10,,-,0,,2,,,-,5,,26,,31,,54,,251,,352,,,-,0,,2,,4,,7,,"DELAWARE
(39.008676, -75.574561)",
TEXAS,2018,10,,N,0,,0,,,N,,N,90,,875,,1264,,5780,,8958,,4,,7,,53,,63,,47,,"TEXAS
(31.827233, -99.423022)",
NEW YORK,2018,10,11,,15,,29,,104,,122,,176,,210,,375,,1840,,1794,,6,,4,,24,,38,,32,,"NEW YORK
(42.826892, -75.544286)",
NEW YORK CITY,2018,10,20,,17,,29,,189,,174,,243,,459,,537,,4044,,4433,,8,,2,,7,,39,,21,,,
NEW JERSEY,2018,10,,-,3,,15,,17,,68,,67,,181,,252,,1445,,1704,,,-,3,,8,,25,,25,,"NEW JERSEY
(40.104655, -74.386686)",
OKLAHOMA,2018,10,,N,0,,0,,,N,,N,26,,138,,210,,961,,1391,,3,,2,,4,,17,,30,,"OKLAHOMA
(35.468494, -97.521264)",
UTAH,2018,10,2,,3,,11,,42,,32,,38,,47,,188,,445,,424,,,-,1,,3,,10,,18,,"UTAH
(39.359772, -111.584173)",
WYOMING,2018,10,,-,0,,3,,,-,7,,,-,8,,15,,50,,63,,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
E.N. CENTRAL,2018,10,4,,29,,85,,204,,213,,142,,1548,,1841,,9955,,14768,,,-,16,,30,,107,,176,,,
SOUTH CAROLINA,2018,10,,-,3,,9,,11,,28,,299,,232,,955,,1076,,2066,,,-,1,,12,,,-,50,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MASSACHUSETTS,2018,10,,-,10,,22,,57,,88,,,-,157,,202,,1302,,1162,,,-,2,,10,,27,,28,,"MASSACHUSETTS
(42.268546, -72.085064)",
CONNECTICUT,2018,10,1,,4,,9,,26,,33,,,-,71,,122,,,-,620,,,-,1,,6,,7,,10,,"CONNECTICUT
(41.544654, -72.651713)",
ARIZONA,2018,10,3,,3,,6,,25,,28,,,-,238,,453,,1220,,1875,,2,,2,,7,,37,,44,,"ARIZONA
(34.869712, -111.760902)",
TENNESSEE,2018,10,,N,0,,0,,,N,,N,74,,235,,323,,1954,,2430,,,-,3,,11,,35,,38,,"TENNESSEE
(35.681402, -85.774444)",
ALABAMA,2018,10,3,,3,,10,,25,,38,,,-,229,,361,,1749,,2114,,,-,2,,7,,19,,16,,"ALABAMA
(32.839182, -86.631125)",
OREGON,2018,10,5,,7,,16,,60,,39,,128,,99,,149,,1144,,897,,,-,2,,7,,22,,23,,"OREGON
(44.567912, -120.156945)",
IDAHO,2018,10,1,,2,,9,,14,,24,,,-,18,,39,,134,,170,,1,,0,,2,,5,,7,,"IDAHO
(43.680635, -114.364237)",
KANSAS,2018,10,,-,2,,5,,15,,16,,41,,90,,115,,807,,789,,,-,1,,5,,3,,13,,"KANSAS
(38.345528, -98.201847)",
NEW MEXICO,2018,10,,-,1,,6,,4,,16,,20,,83,,168,,518,,749,,,-,1,,3,,8,,14,,"NEW MEXICO
(34.520396, -106.244402)",
WASHINGTON,2018,10,4,,8,,137,,21,,8,,183,,144,,230,,1570,,1256,,1,,0,,3,,4,,,-,"WASHINGTON
(47.517368, -120.467672)",
VIRGIN ISL.,2018,10,,-,0,,0,,,-,,-,,-,0,,2,,,-,6,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MARYLAND,2018,10,5,,3,,8,,22,,30,,118,,196,,355,,1240,,1510,,1,,2,,7,,32,,28,,"MARYLAND
(39.290443, -76.612333)",
WEST VIRGINIA,2018,10,,-,1,,4,,2,,22,,,-,22,,40,,,-,381,,,-,1,,6,,7,,10,,"WEST VIRGINIA
(38.668501, -80.709421)",
RHODE ISLAND,2018,10,1,,1,,3,,4,,7,,,-,17,,110,,111,,94,,,-,0,,7,,1,,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MID. ATLANTIC,2018,10,31,,47,,74,,371,,443,,680,,1138,,1306,,10066,,12422,,15,,16,,32,,154,,146,,,
HAWAII,2018,10,,-,1,,5,,6,,10,,,-,26,,47,,203,,256,,,-,0,,4,,9,,10,,"HAWAII
(21.30992, -157.858158)",
COLORADO,2018,10,,-,10,,19,,,-,90,,,-,165,,260,,1386,,1434,,,-,1,,5,,,-,21,,"COLORADO
(38.841772, -106.132562)",
UNITED STATES,2018,10,78,,246,,378,,1413,,2167,,3202,,10292,,11995,,76273,,98456,,51,,96,,233,,918,,1081,,,
GUAM,2018,10,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.3532, 144.653198)",
GEORGIA,2018,10,,-,6,,18,,40,,108,,142,,398,,504,,2841,,4436,,1,,4,,15,,42,,54,,"GEORGIA
(32.836038, -83.631709)",
NEW HAMPSHIRE,2018,10,,-,2,,5,,8,,13,,,-,7,,18,,,-,122,,,-,0,,3,,9,,2,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MINNESOTA,2018,10,,-,0,,0,,,-,,-,8,,131,,187,,1237,,1163,,,-,0,,3,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
KENTUCKY,2018,10,,N,0,,0,,,N,,N,,-,133,,230,,,-,1389,,,-,2,,8,,23,,20,,"KENTUCKY
(37.64591, -84.774043)",
CALIFORNIA,2018,10,1,,47,,76,,153,,437,,100,,1482,,1693,,12726,,13770,,,-,1,,5,,13,,13,,"CALIFORNIA
(37.640735, -121.002435)",
S. ATLANTIC,2018,10,8,,38,,67,,235,,421,,1169,,2330,,3023,,16002,,21067,,15,,23,,54,,225,,271,,,
ILLINOIS,2018,10,,N,0,,0,,,N,,N,14,,425,,542,,1616,,4216,,,-,4,,11,,1,,51,,"ILLINOIS
(40.477092, -88.993221)",
WISCONSIN,2018,10,3,,9,,45,,71,,42,,,-,153,,209,,1130,,1377,,,-,1,,4,,,-,26,,"WISCONSIN
(44.395526, -89.834513)",
MONTANA,2018,10,,-,2,,7,,11,,12,,12,,16,,31,,186,,152,,,-,0,,3,,4,,4,,"MONTANA
(47.062617, -109.430168)",
C.N.M.I.,2018,10,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
E.S. CENTRAL,2018,10,3,,3,,10,,25,,38,,181,,757,,1054,,4854,,7066,,3,,7,,22,,101,,88,,,
FLORIDA,2018,11,,-,17,,32,,109,,220,,290,,627,,849,,5788,,6083,,10,,6,,14,,98,,57,,"FLORIDA
(28.915325, -81.922409)",
NEW MEXICO,2018,11,,-,1,,6,,5,,18,,10,,83,,168,,552,,837,,1,,1,,3,,9,,15,,"NEW MEXICO
(34.520396, -106.244402)",
WEST VIRGINIA,2018,11,,-,1,,5,,2,,22,,,-,22,,40,,,-,411,,,-,1,,6,,7,,12,,"WEST VIRGINIA
(38.668501, -80.709421)",
NORTH CAROLINA,2018,11,,-,0,,0,,,-,,-,,-,437,,511,,3131,,4518,,,-,3,,12,,38,,50,,"NORTH CAROLINA
(35.47995, -79.180571)",
NORTH DAKOTA,2018,11,,-,0,,4,,7,,5,,,-,17,,27,,132,,147,,,-,0,,2,,2,,3,,"NORTH DAKOTA
(47.475879, -100.121011)",
VERMONT,2018,11,,N,0,,0,,,N,,N,,-,2,,14,,,-,43,,,-,0,,2,,3,,3,,"VERMONT
(43.622479, -72.51927)",
NEBRASKA,2018,11,1,,2,,6,,23,,29,,,-,51,,84,,430,,490,,,-,1,,3,,4,,12,,"NEBRASKA
(41.640503, -99.367122)",
PUERTO RICO,2018,11,,-,0,,1,,,-,2,,,-,9,,25,,57,,155,,,-,0,,2,,,-,3,,"PUERTO RICO
(18.215692, -66.414655)",
HAWAII,2018,11,,-,1,,5,,6,,10,,,-,26,,47,,203,,287,,,-,0,,4,,9,,10,,"HAWAII
(21.30992, -157.858158)",
W.N. CENTRAL,2018,11,4,,14,,32,,122,,169,,268,,628,,787,,6604,,6196,,1,,5,,13,,49,,69,,,
TEXAS,2018,11,,N,0,,0,,,N,,N,737,,875,,1250,,6955,,9829,,13,,7,,55,,78,,63,,"TEXAS
(31.827233, -99.423022)",
NEW JERSEY,2018,11,,-,3,,15,,17,,73,,77,,176,,252,,1590,,1835,,,-,3,,8,,28,,28,,"NEW JERSEY
(40.104655, -74.386686)",
MICHIGAN,2018,11,,-,9,,33,,40,,101,,64,,292,,391,,1946,,2935,,,-,3,,9,,28,,45,,"MICHIGAN
(44.66399, -84.711206)",
MISSISSIPPI,2018,11,,N,0,,0,,,N,,N,129,,176,,336,,1242,,1188,,1,,1,,5,,24,,14,,"MISSISSIPPI
(32.738663, -89.537312)",
LOUISIANA,2018,11,,-,3,,12,,2,,42,,484,,207,,332,,1982,,2173,,1,,1,,4,,26,,18,,"LOUISIANA
(31.2931, -92.463284)",
MARYLAND,2018,11,2,,3,,8,,25,,30,,75,,196,,355,,1423,,1628,,1,,2,,7,,34,,28,,"MARYLAND
(39.290443, -76.612333)",
MISSOURI,2018,11,2,,4,,14,,40,,52,,213,,256,,343,,2964,,2541,,1,,2,,10,,39,,35,,"MISSOURI
(38.636168, -92.566292)",
OHIO,2018,11,11,,6,,27,,89,,78,,230,,451,,544,,3949,,4805,,3,,5,,13,,59,,43,,"OHIO
(40.056807, -82.405897)",
MONTANA,2018,11,,-,2,,7,,13,,12,,19,,16,,31,,214,,174,,,-,0,,3,,4,,5,,"MONTANA
(47.062617, -109.430168)",
DIST. OF COL.,2018,11,,-,0,,2,,2,,7,,57,,84,,207,,849,,732,,,-,0,,1,,3,,3,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
WISCONSIN,2018,11,3,,9,,46,,80,,51,,93,,152,,209,,1300,,1492,,,-,1,,5,,,-,26,,"WISCONSIN
(44.395526, -89.834513)",
MASSACHUSETTS,2018,11,,-,10,,22,,82,,101,,88,,158,,202,,1577,,1262,,,-,2,,10,,33,,30,,"MASSACHUSETTS
(42.268546, -72.085064)",
GEORGIA,2018,11,,-,6,,16,,40,,122,,,-,395,,504,,2841,,4878,,,-,4,,15,,42,,56,,"GEORGIA
(32.836038, -83.631709)",
WASHINGTON,2018,11,20,,8,,137,,41,,10,,123,,192,,280,,1693,,1905,,,-,0,,3,,4,,1,,"WASHINGTON
(47.517368, -120.467672)",
ARKANSAS,2018,11,1,,3,,8,,20,,17,,2,,88,,343,,5,,825,,2,,1,,11,,16,,19,,"ARKANSAS
(34.748745, -92.275105)",
DELAWARE,2018,11,,-,0,,2,,,-,5,,20,,31,,54,,271,,386,,,-,0,,2,,5,,7,,"DELAWARE
(39.008676, -75.574561)",
IDAHO,2018,11,2,,2,,9,,16,,26,,,-,18,,39,,134,,189,,2,,0,,2,,7,,7,,"IDAHO
(43.680635, -114.364237)",
RHODE ISLAND,2018,11,,-,1,,3,,5,,7,,8,,17,,110,,143,,95,,3,,0,,7,,4,,,-,"RHODE ISLAND
(41.707447, -71.522488)",
IOWA,2018,11,1,,4,,15,,31,,44,,,-,70,,98,,684,,635,,,-,0,,1,,,-,,-,"IOWA
(42.46942, -93.815856)",
WYOMING,2018,11,,-,0,,3,,,-,7,,,-,8,,15,,55,,72,,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
ILLINOIS,2018,11,,N,0,,0,,,N,,N,27,,425,,544,,1973,,4614,,,-,3,,11,,1,,57,,"ILLINOIS
(40.477092, -88.993221)",
CALIFORNIA,2018,11,7,,46,,76,,165,,492,,145,,1482,,1695,,14170,,15070,,,-,1,,5,,14,,14,,"CALIFORNIA
(37.640735, -121.002435)",
SOUTH CAROLINA,2018,11,,-,3,,9,,11,,29,,253,,233,,955,,1335,,2264,,,-,2,,6,,7,,31,,"SOUTH CAROLINA
(34.009286, -81.037094)",
C.N.M.I.,2018,11,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
ALASKA,2018,11,,-,1,,7,,4,,11,,,-,39,,60,,14,,419,,,-,0,,2,,7,,3,,"ALASKA
(64.836661, -147.738891)",
INDIANA,2018,11,,-,3,,8,,19,,25,,84,,222,,302,,2244,,2290,,,-,3,,9,,33,,21,,"INDIANA
(39.76845, -86.156212)",
SOUTH DAKOTA,2018,11,,-,2,,4,,3,,21,,,-,20,,36,,168,,266,,,-,0,,3,,1,,5,,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEW YORK,2018,11,10,,15,,31,,113,,132,,181,,210,,378,,2020,,1935,,2,,4,,24,,40,,36,,"NEW YORK
(42.826892, -75.544286)",
KENTUCKY,2018,11,,N,0,,0,,,N,,N,,-,129,,230,,,-,1472,,1,,2,,8,,28,,22,,"KENTUCKY
(37.64591, -84.774043)",
UNITED STATES,2018,11,102,,252,,387,,1527,,2452,,4767,,10339,,12144,,85861,,108311,,57,,95,,238,,1037,,1149,,,
MINNESOTA,2018,11,,-,0,,0,,,-,,-,23,,131,,187,,1343,,1266,,,-,0,,3,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
OKLAHOMA,2018,11,,N,0,,0,,,N,,N,16,,138,,210,,1046,,1529,,3,,2,,4,,20,,30,,"OKLAHOMA
(35.468494, -97.521264)",
AMER. SAMOA,2018,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
VIRGINIA,2018,11,2,,5,,28,,53,,45,,259,,240,,352,,2302,,2265,,,-,2,,18,,16,,26,,"VIRGINIA
(37.542699, -78.45822)",
MOUNTAIN,2018,11,4,,22,,45,,107,,231,,373,,668,,988,,4592,,6473,,6,,8,,13,,77,,131,,,
UTAH,2018,11,,-,4,,12,,44,,37,,22,,47,,204,,492,,471,,,-,1,,3,,13,,21,,"UTAH
(39.359772, -111.584173)",
W.S. CENTRAL,2018,11,1,,6,,16,,22,,59,,1239,,1343,,1731,,9988,,14356,,19,,11,,67,,140,,130,,,
E.N. CENTRAL,2018,11,14,,30,,85,,228,,255,,498,,1548,,1843,,11412,,16136,,3,,17,,30,,121,,192,,,
VIRGIN ISL.,2018,11,,-,0,,0,,,-,,-,,-,0,,1,,,-,6,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MID. ATLANTIC,2018,11,39,,48,,71,,358,,483,,747,,1136,,1306,,11135,,13363,,7,,17,,32,,167,,155,,,
COLORADO,2018,11,,-,9,,19,,,-,95,,124,,164,,260,,1685,,1581,,,-,1,,5,,,-,22,,"COLORADO
(38.841772, -106.132562)",
ALABAMA,2018,11,1,,3,,10,,28,,39,,,-,229,,361,,1749,,2342,,,-,1,,7,,21,,19,,"ALABAMA
(32.839182, -86.631125)",
TENNESSEE,2018,11,,N,0,,0,,,N,,N,75,,235,,323,,2029,,2650,,2,,3,,11,,38,,38,,"TENNESSEE
(35.681402, -85.774444)",
PENNSYLVANIA,2018,11,9,,10,,22,,70,,84,,214,,294,,337,,3033,,4768,,3,,5,,14,,58,,70,,"PENNSYLVANIA
(40.789676, -77.858055)",
NEVADA,2018,11,,-,0,,3,,2,,8,,,-,104,,141,,31,,1018,,,-,0,,3,,3,,13,,"NEVADA
(39.491833, -117.070159)",
ARIZONA,2018,11,2,,3,,6,,27,,28,,198,,234,,453,,1429,,2131,,3,,2,,7,,41,,48,,"ARIZONA
(34.869712, -111.760902)",
GUAM,2018,11,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.3532, 144.653198)",
KANSAS,2018,11,,-,2,,5,,18,,18,,32,,90,,115,,883,,851,,,-,1,,5,,3,,14,,"KANSAS
(38.345528, -98.201847)",
NEW HAMPSHIRE,2018,11,,-,2,,5,,8,,16,,,-,7,,18,,,-,135,,,-,0,,3,,9,,3,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEW YORK CITY,2018,11,20,,18,,29,,158,,194,,275,,457,,538,,4492,,4825,,2,,2,,8,,41,,21,,,
MAINE,2018,11,3,,2,,7,,14,,9,,1,,12,,32,,107,,102,,,-,0,,2,,6,,9,,"MAINE
(45.252223, -68.986647)",
NEW ENGLAND,2018,11,5,,19,,41,,139,,170,,97,,266,,365,,1827,,2313,,3,,5,,20,,62,,56,,,
E.S. CENTRAL,2018,11,1,,3,,10,,28,,39,,204,,753,,1054,,5020,,7652,,4,,7,,22,,111,,93,,,
CONNECTICUT,2018,11,2,,4,,9,,30,,37,,,-,69,,122,,,-,676,,,-,1,,6,,7,,11,,"CONNECTICUT
(41.544654, -72.651713)",
S. ATLANTIC,2018,11,4,,38,,67,,242,,480,,954,,2335,,3024,,17940,,23165,,11,,22,,57,,250,,270,,,
OREGON,2018,11,3,,6,,16,,65,,43,,119,,100,,149,,1263,,976,,3,,2,,7,,26,,25,,"OREGON
(44.567912, -120.156945)",
PACIFIC,2018,11,30,,68,,160,,281,,566,,387,,1822,,2171,,17343,,18657,,3,,4,,10,,60,,53,,,
OHIO,2018,12,16,,6,,27,,105,,81,,243,,458,,544,,4395,,5224,,6,,5,,13,,65,,48,,"OHIO
(40.056807, -82.405897)",
NORTH CAROLINA,2018,12,,-,0,,0,,,-,,-,1,,437,,511,,3443,,4919,,,-,3,,12,,41,,55,,"NORTH CAROLINA
(35.47995, -79.180571)",
VIRGINIA,2018,12,3,,5,,28,,62,,46,,244,,240,,352,,2546,,2547,,2,,2,,18,,20,,30,,"VIRGINIA
(37.542699, -78.45822)",
MOUNTAIN,2018,12,5,,22,,45,,113,,249,,180,,663,,1000,,4991,,7104,,3,,8,,13,,83,,141,,,
TEXAS,2018,12,,N,0,,0,,,N,,N,233,,884,,1252,,7937,,10714,,18,,7,,56,,103,,71,,"TEXAS
(31.827233, -99.423022)",
NEVADA,2018,12,,-,0,,3,,2,,8,,,-,104,,141,,48,,1101,,,-,0,,2,,3,,15,,"NEVADA
(39.491833, -117.070159)",
