Reporting Area,MMWR Year,MMWR Week,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Max†","Cryptosporidiosis, Previous 52 weeks Max†, flag","Cryptosporidiosis, Cum 2019†","Cryptosporidiosis, Cum 2019†, flag","Cryptosporidiosis, Cum 2018†","Cryptosporidiosis, Cum 2018†, flag","Cyclosporiasis, Current week","Cyclosporiasis, Current week, flag","Cyclosporiasis, Previous 52 weeks Max†","Cyclosporiasis, Previous 52 weeks Max†, flag","Cyclosporiasis, Cum 2019†","Cyclosporiasis, Cum 2019†, flag","Cyclosporiasis, Cum 2018†","Cyclosporiasis, Cum 2018†, flag",Location 1,Location 2
MONTANA,2019,4,,-,5,,1,,5,,,-,3,,,-,,-,"MONTANA
(47.062617, -109.430168)",
PUERTO RICO,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
CALIFORNIA,2019,4,1,,25,,14,,30,,,-,23,,1,,,-,"CALIFORNIA
(37.640735, -121.002435)",
PENNSYLVANIA,2019,4,8,,20,,31,,25,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
NEVADA,2019,4,1,,6,,2,,1,,,N,,NC,,N,,N,"NEVADA
(39.491833, -117.070159)",
SOUTH DAKOTA,2019,4,,-,15,,2,,5,,,-,12,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
WYOMING,2019,4,,-,2,,,-,1,,,-,1,,,-,1,,"WYOMING
(43.23558, -108.110518)",
CONNECTICUT,2019,4,,-,8,,10,,5,,,-,4,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
HAWAII,2019,4,,-,1,,1,,1,,,-,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
IOWA,2019,4,2,,40,,10,,29,,,-,75,,,-,1,,"IOWA
(42.46942, -93.815856)",
GEORGIA,2019,4,2,,23,,14,,17,,,-,7,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
US RESIDENTS,2019,4,50,,428,,323,,506,,,-,572,,2,,4,,,US RESIDENTS
ALABAMA,2019,4,2,,8,,10,,11,,,N,,NC,,N,,N,"ALABAMA
(32.839182, -86.631125)",
EAST NORTH CENTRAL,2019,4,10,,117,,80,,103,,,-,456,,,-,,-,,EAST NORTH CENTRAL
UTAH,2019,4,2,,18,,5,,5,,,-,4,,,-,,-,"UTAH
(39.359772, -111.584173)",
ARIZONA,2019,4,1,,12,,5,,10,,,-,2,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
WEST SOUTH CENTRAL,2019,4,3,,61,,18,,53,,,-,49,,,-,,-,,WEST SOUTH CENTRAL
ARKANSAS,2019,4,,-,5,,2,,4,,,-,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
ALASKA,2019,4,,-,2,,,-,,-,,-,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
KENTUCKY,2019,4,,-,7,,4,,4,,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
SOUTH CAROLINA,2019,4,,-,6,,5,,6,,,-,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
GUAM,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MISSOURI,2019,4,,-,19,,9,,10,,,-,29,,1,,,-,"MISSOURI
(38.636168, -92.566292)",
NEW YORK CITY,2019,4,,-,12,,18,,7,,,-,11,,,-,,-,,NEW YORK CITY
DISTRICT OF COLUMBIA,2019,4,,-,4,,,-,1,,,-,3,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
NEW YORK,2019,4,2,,20,,7,,5,,,-,9,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
MASSACHUSETTS,2019,4,1,,19,,10,,14,,,-,6,,,-,1,,"MASSACHUSETTS
(42.268546, -72.085064)",
KANSAS,2019,4,,-,6,,,-,6,,,-,4,,,-,,-,"KANSAS
(38.345528, -98.201847)",
SOUTH ATLANTIC,2019,4,7,,69,,37,,90,,,-,26,,,-,,-,,SOUTH ATLANTIC
TENNESSEE,2019,4,,-,10,,1,,16,,,-,3,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
NORTH DAKOTA,2019,4,,-,4,,,-,2,,,N,,NC,,N,,N,"NORTH DAKOTA
(47.475879, -100.121011)",
ILLINOIS,2019,4,,-,21,,9,,9,,,-,398,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
TOTAL,2019,4,50,,428,,323,,506,,,-,572,,2,,4,,,TOTAL
OKLAHOMA,2019,4,2,,10,,7,,3,,,N,,NC,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
US TERRITORIES,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
MOUNTAIN,2019,4,7,,48,,23,,39,,,-,10,,,-,1,,,MOUNTAIN
AMERICAN SAMOA,2019,4,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA
OHIO,2019,4,6,,36,,36,,34,,,-,23,,,-,,-,"OHIO
(40.056807, -82.405897)",
WASHINGTON,2019,4,1,,35,,6,,3,,,-,3,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
MINNESOTA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
WEST NORTH CENTRAL,2019,4,2,,68,,25,,59,,,-,87,,1,,1,,,WEST NORTH CENTRAL
WISCONSIN,2019,4,4,,48,,23,,33,,,-,133,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
EAST SOUTH CENTRAL,2019,4,2,,20,,16,,36,,,-,3,,,-,,-,,EAST SOUTH CENTRAL
WEST VIRGINIA,2019,4,,-,4,,,-,,-,,-,2,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
FLORIDA,2019,4,,-,27,,,-,27,,,-,9,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
MICHIGAN,2019,4,,-,16,,12,,14,,,-,5,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
PACIFIC,2019,4,5,,45,,40,,58,,,-,26,,1,,,-,,PACIFIC
RHODE ISLAND,2019,4,,-,37,,,-,2,,,-,2,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NON-US RESIDENTS,2019,4,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
MARYLAND,2019,4,,-,7,,1,,4,,,-,7,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
OREGON,2019,4,3,,12,,19,,24,,,-,2,,,-,,-,"OREGON
(44.567912, -120.156945)",
NEW JERSEY,2019,4,,-,12,,,-,5,,,-,8,,,-,1,,"NEW JERSEY
(40.104655, -74.386686)",
NEW ENGLAND,2019,4,4,,49,,28,,26,,,-,10,,,-,1,,,NEW ENGLAND
INDIANA,2019,4,,-,20,,,-,13,,,-,21,,,-,,-,"INDIANA
(39.76845, -86.156212)",
NEW HAMPSHIRE,2019,5,,-,7,,8,,1,,,-,2,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
HAWAII,2019,5,,-,1,,1,,1,,,-,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
NEVADA,2019,5,,-,6,,2,,1,,,N,,NC,,N,,N,"NEVADA
(39.491833, -117.070159)",
OHIO,2019,5,3,,36,,39,,48,,,-,23,,,-,,-,"OHIO
(40.056807, -82.405897)",
WYOMING,2019,5,,-,2,,,-,1,,,-,1,,,-,1,,"WYOMING
(43.23558, -108.110518)",
NORTHERN MARIANA ISLANDS,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
UTAH,2019,5,1,,18,,6,,9,,,-,4,,,-,,-,"UTAH
(39.359772, -111.584173)",
TENNESSEE,2019,5,,-,10,,1,,23,,,-,3,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
VERMONT,2019,5,,-,10,,3,,2,,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
OKLAHOMA,2019,5,2,,10,,9,,3,,,N,,NC,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
US RESIDENTS,2019,5,49,,428,,424,,632,,1,,572,,3,,4,,,US RESIDENTS
MINNESOTA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
TEXAS,2019,5,,-,53,,10,,43,,,-,40,,,-,,-,"TEXAS
(31.827233, -99.423022)",
RHODE ISLAND,2019,5,,-,37,,,-,3,,,-,2,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
ARKANSAS,2019,5,,-,5,,2,,5,,,-,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
PUERTO RICO,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
VIRGINIA,2019,5,2,,14,,15,,22,,1,,5,,1,,,-,"VIRGINIA
(37.542699, -78.45822)",
PACIFIC,2019,5,8,,45,,54,,76,,,-,26,,1,,,-,,PACIFIC
IDAHO,2019,5,,-,7,,4,,7,,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
WISCONSIN,2019,5,2,,48,,27,,40,,,-,133,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
MONTANA,2019,5,,-,5,,1,,5,,,-,3,,,-,,-,"MONTANA
(47.062617, -109.430168)",
MASSACHUSETTS,2019,5,2,,19,,16,,18,,,-,6,,,-,1,,"MASSACHUSETTS
(42.268546, -72.085064)",
GUAM,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
KANSAS,2019,5,,-,6,,4,,6,,,-,4,,,-,,-,"KANSAS
(38.345528, -98.201847)",
NEW ENGLAND,2019,5,3,,49,,38,,32,,,-,10,,,-,1,,,NEW ENGLAND
EAST NORTH CENTRAL,2019,5,5,,118,,97,,135,,,-,456,,,-,,-,,EAST NORTH CENTRAL
WEST SOUTH CENTRAL,2019,5,2,,61,,21,,67,,,-,49,,,-,,-,,WEST SOUTH CENTRAL
WEST NORTH CENTRAL,2019,5,7,,68,,43,,68,,,-,87,,1,,1,,,WEST NORTH CENTRAL
NEBRASKA,2019,5,,-,9,,4,,9,,,-,5,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
MICHIGAN,2019,5,,-,16,,15,,18,,,-,5,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
U.S. VIRGIN ISLANDS,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
AMERICAN SAMOA,2019,5,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA
CALIFORNIA,2019,5,6,,25,,25,,36,,,-,23,,1,,,-,"CALIFORNIA
(37.640735, -121.002435)",
EAST SOUTH CENTRAL,2019,5,1,,20,,18,,43,,,-,3,,,-,,-,,EAST SOUTH CENTRAL
MOUNTAIN,2019,5,1,,36,,19,,37,,,-,9,,,-,1,,,MOUNTAIN
OREGON,2019,5,2,,12,,22,,36,,,-,2,,,-,,-,"OREGON
(44.567912, -120.156945)",
MISSISSIPPI,2019,5,1,,8,,2,,5,,,N,,NC,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
WEST VIRGINIA,2019,5,2,,4,,3,,,-,,-,2,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
INDIANA,2019,5,,-,20,,,-,18,,,-,21,,,-,,-,"INDIANA
(39.76845, -86.156212)",
LOUISIANA,2019,5,,-,4,,,-,16,,,-,2,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
ILLINOIS,2019,5,,-,21,,16,,11,,,-,398,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
GEORGIA,2019,5,4,,24,,23,,20,,,-,7,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
NORTH DAKOTA,2019,5,,-,4,,,-,3,,,N,,NC,,N,,N,"NORTH DAKOTA
(47.475879, -100.121011)",
SOUTH ATLANTIC,2019,5,8,,69,,54,,118,,1,,26,,1,,,-,,SOUTH ATLANTIC
SOUTH DAKOTA,2019,5,,-,15,,2,,6,,,-,12,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NON-US RESIDENTS,2019,5,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
US TERRITORIES,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
SOUTH CAROLINA,2019,5,,-,6,,6,,8,,,-,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
MARYLAND,2019,5,,-,7,,1,,5,,,-,7,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
ARIZONA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
ALASKA,2019,5,,-,2,,,-,,-,,-,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
WASHINGTON,2019,5,,-,35,,6,,3,,,-,3,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
MISSOURI,2019,5,1,,19,,11,,11,,,-,29,,1,,,-,"MISSOURI
(38.636168, -92.566292)",
PENNSYLVANIA,2019,5,4,,20,,38,,34,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
NEW YORK,2019,5,10,,20,,17,,7,,,-,9,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
DELAWARE,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
MAINE,2019,5,,-,6,,,-,3,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
COLORADO,2019,5,,-,11,,5,,12,,,-,6,,,-,,-,"COLORADO
(38.841772, -106.132562)",
NEW MEXICO,2019,5,,-,10,,1,,2,,,-,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
NEW JERSEY,2019,5,,-,12,,2,,5,,,-,8,,,-,1,,"NEW JERSEY
(40.104655, -74.386686)",
DISTRICT OF COLUMBIA,2019,5,,-,4,,,-,5,,,-,3,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MIDDDLE ATLANTIC,2019,5,14,,51,,80,,56,,,-,23,,,-,1,,,MIDDDLE ATLANTIC
TOTAL,2019,5,49,,428,,424,,632,,1,,572,,3,,4,,,TOTAL
ALABAMA,2019,5,,-,8,,10,,11,,,N,,NC,,N,,N,"ALABAMA
(32.839182, -86.631125)",
CONNECTICUT,2019,5,1,,8,,11,,5,,,-,4,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
IOWA,2019,5,6,,40,,22,,33,,,-,75,,,-,1,,"IOWA
(42.46942, -93.815856)",
KENTUCKY,2019,5,,-,7,,5,,4,,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
NORTH CAROLINA,2019,5,,-,12,,6,,21,,,-,6,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
NEW YORK CITY,2019,5,,-,12,,23,,10,,,-,11,,,-,,-,,NEW YORK CITY
FLORIDA,2019,5,,-,27,,,-,37,,,-,9,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
ALASKA,2019,6,,-,2,,,-,,-,,-,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
RHODE ISLAND,2019,6,,-,37,,1,,4,,,-,2,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
ARKANSAS,2019,6,3,,5,,6,,9,,,-,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
AMERICAN SAMOA,2019,6,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA
IOWA,2019,6,,-,40,,22,,37,,,-,75,,,-,1,,"IOWA
(42.46942, -93.815856)",
NEW MEXICO,2019,6,,-,10,,3,,3,,,-,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
FLORIDA,2019,6,,-,27,,,-,48,,,-,9,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
GUAM,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
PACIFIC,2019,6,1,,45,,59,,90,,,-,26,,1,,,-,,PACIFIC
NEW ENGLAND,2019,6,1,,48,,38,,36,,,-,10,,,-,1,,,NEW ENGLAND
LOUISIANA,2019,6,,-,4,,,-,19,,,-,2,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
U.S. VIRGIN ISLANDS,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
OKLAHOMA,2019,6,2,,10,,11,,3,,,N,,NC,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
NEW YORK,2019,6,8,,20,,24,,9,,,-,9,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
WEST VIRGINIA,2019,6,,-,4,,3,,,-,,-,2,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
MONTANA,2019,6,,-,5,,1,,5,,,-,3,,,-,,-,"MONTANA
(47.062617, -109.430168)",
NORTH CAROLINA,2019,6,,-,12,,10,,22,,,-,6,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
SOUTH DAKOTA,2019,6,,-,15,,7,,7,,,-,12,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NON-US RESIDENTS,2019,6,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
ILLINOIS,2019,6,,-,21,,17,,13,,,-,398,,1,,,-,"ILLINOIS
(40.477092, -88.993221)",
WEST SOUTH CENTRAL,2019,6,5,,61,,33,,80,,,-,49,,,-,,-,,WEST SOUTH CENTRAL
NEBRASKA,2019,6,2,,9,,8,,10,,,-,5,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
ARIZONA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
EAST NORTH CENTRAL,2019,6,7,,118,,116,,149,,,-,456,,1,,,-,,EAST NORTH CENTRAL
CONNECTICUT,2019,6,,-,8,,10,,7,,,-,6,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
NEW YORK CITY,2019,6,,-,12,,30,,12,,,-,11,,,-,1,,,NEW YORK CITY
CALIFORNIA,2019,6,1,,25,,28,,43,,,-,23,,1,,,-,"CALIFORNIA
(37.640735, -121.002435)",
MISSISSIPPI,2019,6,,-,8,,2,,8,,,N,,NC,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
MIDDDLE ATLANTIC,2019,6,11,,51,,106,,66,,,-,23,,,-,2,,,MIDDDLE ATLANTIC
VIRGINIA,2019,6,2,,14,,22,,26,,,-,5,,1,,,-,"VIRGINIA
(37.542699, -78.45822)",
SOUTH ATLANTIC,2019,6,7,,69,,72,,140,,,-,26,,1,,,-,,SOUTH ATLANTIC
KANSAS,2019,6,,-,6,,4,,6,,,-,4,,,-,,-,"KANSAS
(38.345528, -98.201847)",
WEST NORTH CENTRAL,2019,6,6,,68,,57,,84,,,-,87,,1,,1,,,WEST NORTH CENTRAL
WISCONSIN,2019,6,2,,48,,36,,46,,,-,132,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
US RESIDENTS,2019,6,42,,428,,539,,744,,,-,573,,4,,5,,,US RESIDENTS
MICHIGAN,2019,6,1,,16,,20,,19,,,-,5,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
NORTH DAKOTA,2019,6,,-,4,,,-,5,,,N,,NC,,N,,N,"NORTH DAKOTA
(47.475879, -100.121011)",
DELAWARE,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
VERMONT,2019,6,,-,10,,3,,2,,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
GEORGIA,2019,6,2,,24,,25,,23,,,-,7,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
NORTHERN MARIANA ISLANDS,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
PUERTO RICO,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
TEXAS,2019,6,,-,53,,16,,49,,,-,40,,,-,,-,"TEXAS
(31.827233, -99.423022)",
PENNSYLVANIA,2019,6,3,,20,,42,,39,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
COLORADO,2019,6,1,,11,,7,,15,,,-,6,,,-,,-,"COLORADO
(38.841772, -106.132562)",
MASSACHUSETTS,2019,6,1,,19,,16,,19,,,-,6,,,-,1,,"MASSACHUSETTS
(42.268546, -72.085064)",
KENTUCKY,2019,6,1,,7,,7,,5,,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
MOUNTAIN,2019,6,3,,36,,29,,44,,,-,9,,,-,1,,,MOUNTAIN
DISTRICT OF COLUMBIA,2019,6,,-,3,,,-,6,,,-,3,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MISSOURI,2019,6,4,,19,,16,,19,,,-,29,,1,,,-,"MISSOURI
(38.636168, -92.566292)",
IDAHO,2019,6,1,,7,,8,,10,,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
OREGON,2019,6,,-,12,,24,,42,,,-,2,,,-,,-,"OREGON
(44.567912, -120.156945)",
WASHINGTON,2019,6,,-,35,,6,,4,,,-,3,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
US TERRITORIES,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
MINNESOTA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
TENNESSEE,2019,6,,-,10,,5,,26,,,-,3,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
NEW JERSEY,2019,6,,-,12,,10,,6,,,-,8,,,-,1,,"NEW JERSEY
(40.104655, -74.386686)",
SOUTH CAROLINA,2019,6,3,,6,,9,,10,,,-,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
HAWAII,2019,6,,-,1,,1,,1,,,-,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
INDIANA,2019,6,,-,20,,,-,19,,,-,21,,,-,,-,"INDIANA
(39.76845, -86.156212)",
MAINE,2019,6,,-,6,,,-,3,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
UTAH,2019,6,,-,18,,7,,9,,,-,4,,,-,,-,"UTAH
(39.359772, -111.584173)",
ALABAMA,2019,6,,-,8,,15,,16,,,N,,NC,,N,,N,"ALABAMA
(32.839182, -86.631125)",
OHIO,2019,6,4,,36,,43,,52,,,-,23,,,-,,-,"OHIO
(40.056807, -82.405897)",
EAST SOUTH CENTRAL,2019,6,1,,20,,29,,55,,,-,3,,,-,,-,,EAST SOUTH CENTRAL
WYOMING,2019,6,,-,2,,,-,1,,,-,1,,,-,1,,"WYOMING
(43.23558, -108.110518)",
MARYLAND,2019,6,,-,7,,3,,5,,,-,7,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
NEW HAMPSHIRE,2019,6,,-,7,,8,,1,,,-,2,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEVADA,2019,6,1,,6,,3,,1,,,N,,NC,,N,,N,"NEVADA
(39.491833, -117.070159)",
CALIFORNIA,2019,7,1,,25,,35,,47,,,-,23,,1,,,-,"CALIFORNIA
(37.640735, -121.002435)",
U.S. VIRGIN ISLANDS,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MIDDDLE ATLANTIC,2019,7,3,,51,,116,,75,,,-,23,,,-,3,,,MIDDDLE ATLANTIC
SOUTH CAROLINA,2019,7,3,,6,,14,,12,,,-,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
NORTH CAROLINA,2019,7,,-,12,,11,,24,,,-,6,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
NEW YORK,2019,7,1,,20,,25,,11,,,-,9,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
COLORADO,2019,7,,-,11,,8,,17,,,-,6,,,-,1,,"COLORADO
(38.841772, -106.132562)",
MOUNTAIN,2019,7,2,,48,,46,,60,,,-,10,,,-,2,,,MOUNTAIN
INDIANA,2019,7,,-,20,,,-,23,,,-,21,,,-,,-,"INDIANA
(39.76845, -86.156212)",
NEW HAMPSHIRE,2019,7,,-,7,,8,,2,,,-,2,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
AMERICAN SAMOA,2019,7,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA
IDAHO,2019,7,,-,7,,8,,10,,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
MONTANA,2019,7,,-,5,,1,,5,,,-,3,,,-,,-,"MONTANA
(47.062617, -109.430168)",
MARYLAND,2019,7,,-,7,,3,,6,,,-,7,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
WEST NORTH CENTRAL,2019,7,2,,68,,82,,107,,,-,87,,1,,1,,,WEST NORTH CENTRAL
WEST VIRGINIA,2019,7,,-,4,,3,,,-,,-,2,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
DELAWARE,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
TENNESSEE,2019,7,,-,10,,10,,30,,,-,3,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
NEW ENGLAND,2019,7,,-,48,,44,,42,,,-,10,,,-,1,,,NEW ENGLAND
GUAM,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
IOWA,2019,7,,-,40,,36,,45,,,-,75,,,-,1,,"IOWA
(42.46942, -93.815856)",
SOUTH DAKOTA,2019,7,,-,15,,7,,9,,,-,12,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
ARIZONA,2019,7,2,,12,,16,,13,,,-,2,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
SOUTH ATLANTIC,2019,7,8,,69,,86,,164,,1,,26,,2,,,-,,SOUTH ATLANTIC
LOUISIANA,2019,7,,-,4,,,-,20,,,-,2,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
MAINE,2019,7,,-,6,,,-,3,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
MASSACHUSETTS,2019,7,,-,19,,19,,23,,,-,6,,,-,1,,"MASSACHUSETTS
(42.268546, -72.085064)",
KENTUCKY,2019,7,,-,7,,7,,8,,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
CONNECTICUT,2019,7,,-,8,,10,,7,,,-,6,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
OKLAHOMA,2019,7,,-,10,,11,,3,,,N,,NC,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
ALASKA,2019,7,,-,2,,,-,,-,,-,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
GEORGIA,2019,7,2,,21,,30,,28,,1,,7,,1,,,-,"GEORGIA
(32.836038, -83.631709)",
WYOMING,2019,7,,-,2,,,-,1,,,-,1,,,-,1,,"WYOMING
(43.23558, -108.110518)",
VERMONT,2019,7,,-,10,,3,,3,,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
DISTRICT OF COLUMBIA,2019,7,,-,3,,,-,6,,,-,3,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MISSOURI,2019,7,1,,19,,22,,29,,,-,29,,1,,,-,"MISSOURI
(38.636168, -92.566292)",
VIRGINIA,2019,7,3,,14,,25,,33,,,-,5,,1,,,-,"VIRGINIA
(37.542699, -78.45822)",
HAWAII,2019,7,,-,1,,1,,1,,,-,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
