"Reporting.Area","MMWR.Year","MMWR.Week","Cryptosporidiosis_Cases_Count"
"PENNSYLVANIA",2019,29,10
"EAST NORTH CENTRAL",2019,29,27
"ILLINOIS",2019,29,1
"INDIANA",2019,29,0
"MICHIGAN",2019,29,1
"OHIO",2019,29,17
"WISCONSIN",2019,29,8
"WEST NORTH CENTRAL",2019,29,8
"IOWA",2019,29,1
"KANSAS",2019,29,0
"MINNESOTA",2019,29,0
"MISSOURI",2019,29,5
"NEBRASKA",2019,29,2
"NORTH DAKOTA",2019,29,0
"SOUTH DAKOTA",2019,29,0
"SOUTH ATLANTIC",2019,29,28
"DELAWARE",2019,29,0
"DISTRICT OF COLUMBIA",2019,29,0
"FLORIDA",2019,29,15
"GEORGIA",2019,29,4
"MARYLAND",2019,29,2
"NORTH CAROLINA",2019,29,0
"SOUTH CAROLINA",2019,29,0
"VIRGINIA",2019,29,7
"WEST VIRGINIA",2019,29,0
"EAST SOUTH CENTRAL",2019,29,2
"ALABAMA",2019,29,2
"KENTUCKY",2019,29,0
"MISSISSIPPI",2019,29,0
"TENNESSEE",2019,29,0
"WEST SOUTH CENTRAL",2019,29,33
"ARKANSAS",2019,29,9
"LOUISIANA",2019,29,0
"OKLAHOMA",2019,29,7
"TEXAS",2019,29,17
"MOUNTAIN",2019,29,12
"ARIZONA",2019,29,2
"COLORADO",2019,29,6
"IDAHO",2019,29,3
"MONTANA",2019,29,0
"NEVADA",2019,29,0
"NEW MEXICO",2019,29,0
"UTAH",2019,29,1
"WYOMING",2019,29,0
"PACIFIC",2019,29,11
"ALASKA",2019,29,0
"CALIFORNIA",2019,29,7
"HAWAII",2019,29,0
"OREGON",2019,29,1
"WASHINGTON",2019,29,3
"US TERRITORIES",2019,29,0
"AMERICAN SAMOA",2019,29,0
"NORTHERN MARIANA ISLANDS",2019,29,0
"GUAM",2019,29,0
"PUERTO RICO",2019,29,0
"U.S. VIRGIN ISLANDS",2019,29,0
"NON-US RESIDENTS",2019,29,0
"TOTAL",2019,29,152
"US RESIDENTS",2019,30,151
"NEW ENGLAND",2019,30,5
"CONNECTICUT",2019,30,0
"MAINE",2019,30,1
"MASSACHUSETTS",2019,30,4
"NEW HAMPSHIRE",2019,30,0
"RHODE ISLAND",2019,30,0
"VERMONT",2019,30,0
"MIDDLE ATLANTIC",2019,30,23
"NEW JERSEY",2019,30,0
"NEW YORK",2019,30,15
"NEW YORK CITY",2019,30,1
"PENNSYLVANIA",2019,30,7
"EAST NORTH CENTRAL",2019,30,39
"ILLINOIS",2019,30,0
"INDIANA",2019,30,0
"MICHIGAN",2019,30,0
"OHIO",2019,30,32
"WISCONSIN",2019,30,7
"WEST NORTH CENTRAL",2019,30,18
"IOWA",2019,30,0
"KANSAS",2019,30,0
"MINNESOTA",2019,30,0
"MISSOURI",2019,30,9
"NEBRASKA",2019,30,8
"NORTH DAKOTA",2019,30,1
"SOUTH DAKOTA",2019,30,0
"SOUTH ATLANTIC",2019,30,16
"DELAWARE",2019,30,0
"DISTRICT OF COLUMBIA",2019,30,0
"FLORIDA",2019,30,0
"GEORGIA",2019,30,5
"MARYLAND",2019,30,2
"NORTH CAROLINA",2019,30,0
"SOUTH CAROLINA",2019,30,1
"VIRGINIA",2019,30,8
"WEST VIRGINIA",2019,30,0
"EAST SOUTH CENTRAL",2019,30,3
"ALABAMA",2019,30,2
"KENTUCKY",2019,30,0
"MISSISSIPPI",2019,30,0
"TENNESSEE",2019,30,1
"WEST SOUTH CENTRAL",2019,30,15
"ARKANSAS",2019,30,2
"LOUISIANA",2019,30,5
"OKLAHOMA",2019,30,4
"TEXAS",2019,30,4
"MOUNTAIN",2019,30,15
"ARIZONA",2019,30,3
"COLORADO",2019,30,8
"IDAHO",2019,30,2
"MONTANA",2019,30,0
"NEVADA",2019,30,0
"NEW MEXICO",2019,30,1
"UTAH",2019,30,1
"WYOMING",2019,30,0
"PACIFIC",2019,30,17
"ALASKA",2019,30,0
"CALIFORNIA",2019,30,8
"HAWAII",2019,30,0
"OREGON",2019,30,7
"WASHINGTON",2019,30,2
"US TERRITORIES",2019,30,0
"AMERICAN SAMOA",2019,30,0
"NORTHERN MARIANA ISLANDS",2019,30,0
"GUAM",2019,30,0
"PUERTO RICO",2019,30,0
"U.S. VIRGIN ISLANDS",2019,30,0
"NON-US RESIDENTS",2019,30,0
"TOTAL",2019,30,151
"US RESIDENTS",2019,31,134
"NEW ENGLAND",2019,31,8
"CONNECTICUT",2019,31,0
"MAINE",2019,31,1
"MASSACHUSETTS",2019,31,5
"NEW HAMPSHIRE",2019,31,0
"RHODE ISLAND",2019,31,0
"VERMONT",2019,31,2
"MIDDLE ATLANTIC",2019,31,24
"NEW JERSEY",2019,31,2
"NEW YORK",2019,31,12
"NEW YORK CITY",2019,31,0
"PENNSYLVANIA",2019,31,10
"EAST NORTH CENTRAL",2019,31,39
"ILLINOIS",2019,31,0
"INDIANA",2019,31,0
"MICHIGAN",2019,31,0
"OHIO",2019,31,27
"WISCONSIN",2019,31,12
"WEST NORTH CENTRAL",2019,31,7
"IOWA",2019,31,0
"KANSAS",2019,31,0
"MINNESOTA",2019,31,0
"MISSOURI",2019,31,5
"NEBRASKA",2019,31,2
"NORTH DAKOTA",2019,31,0
"SOUTH DAKOTA",2019,31,0
"SOUTH ATLANTIC",2019,31,12
"DELAWARE",2019,31,1
"DISTRICT OF COLUMBIA",2019,31,0
"FLORIDA",2019,31,0
"GEORGIA",2019,31,1
"MARYLAND",2019,31,0
"NORTH CAROLINA",2019,31,0
"SOUTH CAROLINA",2019,31,2
"VIRGINIA",2019,31,8
"WEST VIRGINIA",2019,31,0
"EAST SOUTH CENTRAL",2019,31,2
"ALABAMA",2019,31,0
"KENTUCKY",2019,31,0
"MISSISSIPPI",2019,31,0
"TENNESSEE",2019,31,2
"WEST SOUTH CENTRAL",2019,31,20
"ARKANSAS",2019,31,4
"LOUISIANA",2019,31,7
"OKLAHOMA",2019,31,4
"TEXAS",2019,31,5
"MOUNTAIN",2019,31,6
"ARIZONA",2019,31,0
"COLORADO",2019,31,2
"IDAHO",2019,31,3
"MONTANA",2019,31,0
"NEVADA",2019,31,0
"NEW MEXICO",2019,31,1
"UTAH",2019,31,0
"WYOMING",2019,31,0
"PACIFIC",2019,31,16
"ALASKA",2019,31,0
"CALIFORNIA",2019,31,10
"HAWAII",2019,31,0
"OREGON",2019,31,3
"WASHINGTON",2019,31,3
"US TERRITORIES",2019,31,0
"AMERICAN SAMOA",2019,31,0
"NORTHERN MARIANA ISLANDS",2019,31,0
"GUAM",2019,31,0
"PUERTO RICO",2019,31,0
"U.S. VIRGIN ISLANDS",2019,31,0
"NON-US RESIDENTS",2019,31,1
"TOTAL",2019,31,135
"US RESIDENTS",2019,32,158
"NEW ENGLAND",2019,32,8
"CONNECTICUT",2019,32,0
"MAINE",2019,32,3
"MASSACHUSETTS",2019,32,5
"NEW HAMPSHIRE",2019,32,0
"RHODE ISLAND",2019,32,0
"VERMONT",2019,32,0
"MIDDLE ATLANTIC",2019,32,34
"NEW JERSEY",2019,32,3
"NEW YORK",2019,32,19
"NEW YORK CITY",2019,32,2
"PENNSYLVANIA",2019,32,10
"EAST NORTH CENTRAL",2019,32,43
"ILLINOIS",2019,32,0
"INDIANA",2019,32,0
"MICHIGAN",2019,32,2
"OHIO",2019,32,25
"WISCONSIN",2019,32,16
"WEST NORTH CENTRAL",2019,32,16
"IOWA",2019,32,3
"KANSAS",2019,32,0
"MINNESOTA",2019,32,0
"MISSOURI",2019,32,7
"NEBRASKA",2019,32,6
"NORTH DAKOTA",2019,32,0
"SOUTH DAKOTA",2019,32,0
"SOUTH ATLANTIC",2019,32,12
"DELAWARE",2019,32,0
"DISTRICT OF COLUMBIA",2019,32,0
"FLORIDA",2019,32,0
"GEORGIA",2019,32,5
"MARYLAND",2019,32,2
"NORTH CAROLINA",2019,32,0
"SOUTH CAROLINA",2019,32,2
"VIRGINIA",2019,32,3
"WEST VIRGINIA",2019,32,0
"EAST SOUTH CENTRAL",2019,32,3
"ALABAMA",2019,32,0
"KENTUCKY",2019,32,2
"MISSISSIPPI",2019,32,0
"TENNESSEE",2019,32,1
"WEST SOUTH CENTRAL",2019,32,15
"ARKANSAS",2019,32,6
"LOUISIANA",2019,32,2
"OKLAHOMA",2019,32,5
"TEXAS",2019,32,2
"MOUNTAIN",2019,32,17
"ARIZONA",2019,32,4
"COLORADO",2019,32,5
"IDAHO",2019,32,3
"MONTANA",2019,32,0
"NEVADA",2019,32,0
"NEW MEXICO",2019,32,1
"UTAH",2019,32,3
"WYOMING",2019,32,1
"PACIFIC",2019,32,10
"ALASKA",2019,32,0
"CALIFORNIA",2019,32,6
"HAWAII",2019,32,0
"OREGON",2019,32,2
"WASHINGTON",2019,32,2
"US TERRITORIES",2019,32,0
"AMERICAN SAMOA",2019,32,0
"NORTHERN MARIANA ISLANDS",2019,32,0
"GUAM",2019,32,0
"PUERTO RICO",2019,32,0
"U.S. VIRGIN ISLANDS",2019,32,0
"NON-US RESIDENTS",2019,32,0
"TOTAL",2019,32,158
"US RESIDENTS",2019,33,162
"NEW ENGLAND",2019,33,8
"CONNECTICUT",2019,33,1
"MAINE",2019,33,0
"MASSACHUSETTS",2019,33,7
"NEW HAMPSHIRE",2019,33,0
"RHODE ISLAND",2019,33,0
"VERMONT",2019,33,0
"MIDDLE ATLANTIC",2019,33,27
"NEW JERSEY",2019,33,0
"NEW YORK",2019,33,16
"NEW YORK CITY",2019,33,5
"PENNSYLVANIA",2019,33,6
"EAST NORTH CENTRAL",2019,33,49
"ILLINOIS",2019,33,0
"INDIANA",2019,33,0
"MICHIGAN",2019,33,0
"OHIO",2019,33,31
"WISCONSIN",2019,33,18
"WEST NORTH CENTRAL",2019,33,12
"IOWA",2019,33,0
"KANSAS",2019,33,0
"MINNESOTA",2019,33,0
"MISSOURI",2019,33,8
"NEBRASKA",2019,33,4
"NORTH DAKOTA",2019,33,0
"SOUTH DAKOTA",2019,33,0
"SOUTH ATLANTIC",2019,33,17
"DELAWARE",2019,33,0
"DISTRICT OF COLUMBIA",2019,33,0
"FLORIDA",2019,33,0
"GEORGIA",2019,33,12
"MARYLAND",2019,33,1
"NORTH CAROLINA",2019,33,0
"SOUTH CAROLINA",2019,33,0
"VIRGINIA",2019,33,4
"WEST VIRGINIA",2019,33,0
"EAST SOUTH CENTRAL",2019,33,2
"ALABAMA",2019,33,0
"KENTUCKY",2019,33,1
"MISSISSIPPI",2019,33,0
"TENNESSEE",2019,33,1
"WEST SOUTH CENTRAL",2019,33,26
"ARKANSAS",2019,33,7
"LOUISIANA",2019,33,9
"OKLAHOMA",2019,33,0
"TEXAS",2019,33,10
"MOUNTAIN",2019,33,12
"ARIZONA",2019,33,2
"COLORADO",2019,33,5
"IDAHO",2019,33,4
"MONTANA",2019,33,0
"NEVADA",2019,33,0
"NEW MEXICO",2019,33,0
"UTAH",2019,33,1
"WYOMING",2019,33,0
"PACIFIC",2019,33,9
"ALASKA",2019,33,1
"CALIFORNIA",2019,33,4
"HAWAII",2019,33,0
"OREGON",2019,33,1
"WASHINGTON",2019,33,3
"US TERRITORIES",2019,33,0
"AMERICAN SAMOA",2019,33,0
"NORTHERN MARIANA ISLANDS",2019,33,0
"GUAM",2019,33,0
"PUERTO RICO",2019,33,0
"U.S. VIRGIN ISLANDS",2019,33,0
"NON-US RESIDENTS",2019,33,0
"TOTAL",2019,33,162
"US RESIDENTS",2019,34,175
"NEW ENGLAND",2019,34,6
"CONNECTICUT",2019,34,0
"MAINE",2019,34,1
"MASSACHUSETTS",2019,34,4
"NEW HAMPSHIRE",2019,34,0
"RHODE ISLAND",2019,34,1
"VERMONT",2019,34,0
"MIDDLE ATLANTIC",2019,34,20
"NEW JERSEY",2019,34,0
"NEW YORK",2019,34,13
"NEW YORK CITY",2019,34,0
"PENNSYLVANIA",2019,34,7
"EAST NORTH CENTRAL",2019,34,36
"ILLINOIS",2019,34,0
"INDIANA",2019,34,0
"MICHIGAN",2019,34,0
"OHIO",2019,34,24
"WISCONSIN",2019,34,12
"WEST NORTH CENTRAL",2019,34,13
"IOWA",2019,34,1
"KANSAS",2019,34,0
"MINNESOTA",2019,34,0
"MISSOURI",2019,34,5
"NEBRASKA",2019,34,6
"NORTH DAKOTA",2019,34,0
"SOUTH DAKOTA",2019,34,1
"SOUTH ATLANTIC",2019,34,38
"DELAWARE",2019,34,1
"DISTRICT OF COLUMBIA",2019,34,0
"FLORIDA",2019,34,18
"GEORGIA",2019,34,1
"MARYLAND",2019,34,2
"NORTH CAROLINA",2019,34,0
"SOUTH CAROLINA",2019,34,2
"VIRGINIA",2019,34,14
"WEST VIRGINIA",2019,34,0
"EAST SOUTH CENTRAL",2019,34,6
"ALABAMA",2019,34,0
"KENTUCKY",2019,34,3
"MISSISSIPPI",2019,34,1
"TENNESSEE",2019,34,2
"WEST SOUTH CENTRAL",2019,34,39
"ARKANSAS",2019,34,3
"LOUISIANA",2019,34,6
"OKLAHOMA",2019,34,9
"TEXAS",2019,34,21
"MOUNTAIN",2019,34,6
"ARIZONA",2019,34,3
"COLORADO",2019,34,1
"IDAHO",2019,34,1
"MONTANA",2019,34,0
"NEVADA",2019,34,0
"NEW MEXICO",2019,34,0
"UTAH",2019,34,1
"WYOMING",2019,34,0
"PACIFIC",2019,34,11
"ALASKA",2019,34,0
"CALIFORNIA",2019,34,7
"HAWAII",2019,34,0
"OREGON",2019,34,4
"WASHINGTON",2019,34,0
"US TERRITORIES",2019,34,0
"AMERICAN SAMOA",2019,34,0
"NORTHERN MARIANA ISLANDS",2019,34,0
"GUAM",2019,34,0
"PUERTO RICO",2019,34,0
"U.S. VIRGIN ISLANDS",2019,34,0
"NON-US RESIDENTS",2019,34,0
"TOTAL",2019,34,175
"US RESIDENTS",2019,35,173
"NEW ENGLAND",2019,35,6
"CONNECTICUT",2019,35,0
"MAINE",2019,35,0
"MASSACHUSETTS",2019,35,6
"NEW HAMPSHIRE",2019,35,0
"RHODE ISLAND",2019,35,0
"VERMONT",2019,35,0
"MIDDLE ATLANTIC",2019,35,21
"NEW JERSEY",2019,35,0
"NEW YORK",2019,35,13
"NEW YORK CITY",2019,35,0
"PENNSYLVANIA",2019,35,8
"EAST NORTH CENTRAL",2019,35,41
"ILLINOIS",2019,35,0
"INDIANA",2019,35,0
"MICHIGAN",2019,35,1
"OHIO",2019,35,28
"WISCONSIN",2019,35,12
"WEST NORTH CENTRAL",2019,35,19
"IOWA",2019,35,0
"KANSAS",2019,35,0
"MINNESOTA",2019,35,0
"MISSOURI",2019,35,15
"NEBRASKA",2019,35,4
"NORTH DAKOTA",2019,35,0
"SOUTH DAKOTA",2019,35,0
"SOUTH ATLANTIC",2019,35,26
"DELAWARE",2019,35,1
"DISTRICT OF COLUMBIA",2019,35,0
"FLORIDA",2019,35,6
"GEORGIA",2019,35,4
"MARYLAND",2019,35,5
"NORTH CAROLINA",2019,35,0
"SOUTH CAROLINA",2019,35,0
"VIRGINIA",2019,35,10
"WEST VIRGINIA",2019,35,0
"EAST SOUTH CENTRAL",2019,35,0
"ALABAMA",2019,35,0
"KENTUCKY",2019,35,0
"MISSISSIPPI",2019,35,0
"TENNESSEE",2019,35,0
"WEST SOUTH CENTRAL",2019,35,43
"ARKANSAS",2019,35,5
"LOUISIANA",2019,35,8
"OKLAHOMA",2019,35,8
"TEXAS",2019,35,22
"MOUNTAIN",2019,35,10
"ARIZONA",2019,35,1
"COLORADO",2019,35,6
"IDAHO",2019,35,1
"MONTANA",2019,35,2
"NEVADA",2019,35,0
"NEW MEXICO",2019,35,0
"UTAH",2019,35,0
"WYOMING",2019,35,0
"PACIFIC",2019,35,7
"ALASKA",2019,35,0
"CALIFORNIA",2019,35,4
"HAWAII",2019,35,0
"OREGON",2019,35,2
"WASHINGTON",2019,35,1
"US TERRITORIES",2019,35,0
"AMERICAN SAMOA",2019,35,0
"NORTHERN MARIANA ISLANDS",2019,35,0
"GUAM",2019,35,0
"PUERTO RICO",2019,35,0
"U.S. VIRGIN ISLANDS",2019,35,0
"NON-US RESIDENTS",2019,35,0
"TOTAL",2019,35,173
"US RESIDENTS",2019,36,149
"NEW ENGLAND",2019,36,11
"CONNECTICUT",2019,36,2
"MAINE",2019,36,2
"MASSACHUSETTS",2019,36,3
"NEW HAMPSHIRE",2019,36,0
"RHODE ISLAND",2019,36,3
"VERMONT",2019,36,1
"MIDDLE ATLANTIC",2019,36,29
"NEW JERSEY",2019,36,2
"NEW YORK",2019,36,19
"NEW YORK CITY",2019,36,0
"PENNSYLVANIA",2019,36,8
"EAST NORTH CENTRAL",2019,36,26
"ILLINOIS",2019,36,0
"INDIANA",2019,36,0
"MICHIGAN",2019,36,0
"OHIO",2019,36,18
"WISCONSIN",2019,36,8
"WEST NORTH CENTRAL",2019,36,10
"IOWA",2019,36,0
"KANSAS",2019,36,0
"MINNESOTA",2019,36,0
"MISSOURI",2019,36,8
"NEBRASKA",2019,36,2
"NORTH DAKOTA",2019,36,0
"SOUTH DAKOTA",2019,36,0
"SOUTH ATLANTIC",2019,36,28
"DELAWARE",2019,36,0
"DISTRICT OF COLUMBIA",2019,36,0
"FLORIDA",2019,36,12
"GEORGIA",2019,36,2
"MARYLAND",2019,36,1
"NORTH CAROLINA",2019,36,0
"SOUTH CAROLINA",2019,36,0
"VIRGINIA",2019,36,13
"WEST VIRGINIA",2019,36,0
"EAST SOUTH CENTRAL",2019,36,4
"ALABAMA",2019,36,0
"KENTUCKY",2019,36,1
"MISSISSIPPI",2019,36,1
"TENNESSEE",2019,36,2
"WEST SOUTH CENTRAL",2019,36,27
"ARKANSAS",2019,36,2
"LOUISIANA",2019,36,0
"OKLAHOMA",2019,36,4
"TEXAS",2019,36,21
"MOUNTAIN",2019,36,5
"ARIZONA",2019,36,2
"COLORADO",2019,36,0
"IDAHO",2019,36,3
"MONTANA",2019,36,0
"NEVADA",2019,36,0
"NEW MEXICO",2019,36,0
"UTAH",2019,36,0
"WYOMING",2019,36,0
"PACIFIC",2019,36,9
"ALASKA",2019,36,0
"CALIFORNIA",2019,36,3
"HAWAII",2019,36,0
"OREGON",2019,36,5
"WASHINGTON",2019,36,1
"US TERRITORIES",2019,36,0
"AMERICAN SAMOA",2019,36,0
"NORTHERN MARIANA ISLANDS",2019,36,0
"GUAM",2019,36,0
"PUERTO RICO",2019,36,0
"U.S. VIRGIN ISLANDS",2019,36,0
"NON-US RESIDENTS",2019,36,0
"TOTAL",2019,36,149
"US RESIDENTS",2019,37,143
"NEW ENGLAND",2019,37,13
"CONNECTICUT",2019,37,0
"MAINE",2019,37,8
"MASSACHUSETTS",2019,37,3
"NEW HAMPSHIRE",2019,37,1
"RHODE ISLAND",2019,37,1
"VERMONT",2019,37,0
"MIDDLE ATLANTIC",2019,37,33
"NEW JERSEY",2019,37,3
"NEW YORK",2019,37,24
"NEW YORK CITY",2019,37,1
"PENNSYLVANIA",2019,37,5
"EAST NORTH CENTRAL",2019,37,27
"ILLINOIS",2019,37,0
"INDIANA",2019,37,0
"MICHIGAN",2019,37,1
"OHIO",2019,37,22
"WISCONSIN",2019,37,4
"WEST NORTH CENTRAL",2019,37,9
"IOWA",2019,37,0
"KANSAS",2019,37,0
"MINNESOTA",2019,37,0
"MISSOURI",2019,37,8
"NEBRASKA",2019,37,1
"NORTH DAKOTA",2019,37,0
"SOUTH DAKOTA",2019,37,0
"SOUTH ATLANTIC",2019,37,23
"DELAWARE",2019,37,1
"DISTRICT OF COLUMBIA",2019,37,0
"FLORIDA",2019,37,14
"GEORGIA",2019,37,1
"MARYLAND",2019,37,0
"NORTH CAROLINA",2019,37,0
"SOUTH CAROLINA",2019,37,2
"VIRGINIA",2019,37,5
"WEST VIRGINIA",2019,37,0
"EAST SOUTH CENTRAL",2019,37,3
"ALABAMA",2019,37,1
"KENTUCKY",2019,37,0
"MISSISSIPPI",2019,37,1
"TENNESSEE",2019,37,1
"WEST SOUTH CENTRAL",2019,37,22
"ARKANSAS",2019,37,3
"LOUISIANA",2019,37,0
"OKLAHOMA",2019,37,6
"TEXAS",2019,37,13
"MOUNTAIN",2019,37,3
"ARIZONA",2019,37,0
"COLORADO",2019,37,0
"IDAHO",2019,37,3
"MONTANA",2019,37,0
"NEVADA",2019,37,0
"NEW MEXICO",2019,37,0
"UTAH",2019,37,0
"WYOMING",2019,37,0
"PACIFIC",2019,37,10
"ALASKA",2019,37,0
"CALIFORNIA",2019,37,1
"HAWAII",2019,37,0
"OREGON",2019,37,6
"WASHINGTON",2019,37,3
"US TERRITORIES",2019,37,0
"AMERICAN SAMOA",2019,37,0
"NORTHERN MARIANA ISLANDS",2019,37,0
"GUAM",2019,37,0
"PUERTO RICO",2019,37,0
"U.S. VIRGIN ISLANDS",2019,37,0
"NON-US RESIDENTS",2019,37,0
"TOTAL",2019,37,143
"US RESIDENTS",2019,38,147
"NEW ENGLAND",2019,38,6
"CONNECTICUT",2019,38,0
"MAINE",2019,38,1
"MASSACHUSETTS",2019,38,4
"NEW HAMPSHIRE",2019,38,1
"RHODE ISLAND",2019,38,0
"VERMONT",2019,38,0
"MIDDLE ATLANTIC",2019,38,31
"NEW JERSEY",2019,38,0
"NEW YORK",2019,38,27
"NEW YORK CITY",2019,38,0
"PENNSYLVANIA",2019,38,4
"EAST NORTH CENTRAL",2019,38,29
"ILLINOIS",2019,38,0
"INDIANA",2019,38,0
"MICHIGAN",2019,38,0
"OHIO",2019,38,22
"WISCONSIN",2019,38,7
"WEST NORTH CENTRAL",2019,38,14
"IOWA",2019,38,1
"KANSAS",2019,38,0
"MINNESOTA",2019,38,0
"MISSOURI",2019,38,12
"NEBRASKA",2019,38,1
"NORTH DAKOTA",2019,38,0
"SOUTH DAKOTA",2019,38,0
"SOUTH ATLANTIC",2019,38,9
"DELAWARE",2019,38,1
"DISTRICT OF COLUMBIA",2019,38,0
"FLORIDA",2019,38,1
"GEORGIA",2019,38,0
"MARYLAND",2019,38,1
"NORTH CAROLINA",2019,38,0
"SOUTH CAROLINA",2019,38,2
"VIRGINIA",2019,38,4
"WEST VIRGINIA",2019,38,0
"EAST SOUTH CENTRAL",2019,38,7
"ALABAMA",2019,38,1
"KENTUCKY",2019,38,1
"MISSISSIPPI",2019,38,1
"TENNESSEE",2019,38,4
"WEST SOUTH CENTRAL",2019,38,31
"ARKANSAS",2019,38,1
"LOUISIANA",2019,38,7
"OKLAHOMA",2019,38,2
"TEXAS",2019,38,21
"MOUNTAIN",2019,38,10
"ARIZONA",2019,38,1
"COLORADO",2019,38,0
"IDAHO",2019,38,5
"MONTANA",2019,38,2
"NEVADA",2019,38,0
"NEW MEXICO",2019,38,2
"UTAH",2019,38,0
"WYOMING",2019,38,0
"PACIFIC",2019,38,10
"ALASKA",2019,38,0
"CALIFORNIA",2019,38,2
"HAWAII",2019,38,1
"OREGON",2019,38,3
"WASHINGTON",2019,38,4
"US TERRITORIES",2019,38,0
"AMERICAN SAMOA",2019,38,0
"NORTHERN MARIANA ISLANDS",2019,38,0
"GUAM",2019,38,0
"PUERTO RICO",2019,38,0
"U.S. VIRGIN ISLANDS",2019,38,0
"NON-US RESIDENTS",2019,38,0
"TOTAL",2019,38,147
"US RESIDENTS",2019,39,124
"NEW ENGLAND",2019,39,5
"CONNECTICUT",2019,39,0
"MAINE",2019,39,2
"MASSACHUSETTS",2019,39,2
"NEW HAMPSHIRE",2019,39,1
"RHODE ISLAND",2019,39,0
"VERMONT",2019,39,0
"MIDDLE ATLANTIC",2019,39,24
"NEW JERSEY",2019,39,0
"NEW YORK",2019,39,16
"NEW YORK CITY",2019,39,1
"PENNSYLVANIA",2019,39,7
"EAST NORTH CENTRAL",2019,39,20
"ILLINOIS",2019,39,0
"INDIANA",2019,39,0
"MICHIGAN",2019,39,1
"OHIO",2019,39,18
"WISCONSIN",2019,39,1
"WEST NORTH CENTRAL",2019,39,6
"IOWA",2019,39,0
"KANSAS",2019,39,0
"MINNESOTA",2019,39,0
"MISSOURI",2019,39,4
"NEBRASKA",2019,39,1
"NORTH DAKOTA",2019,39,0
"SOUTH DAKOTA",2019,39,1
"SOUTH ATLANTIC",2019,39,14
"DELAWARE",2019,39,1
"DISTRICT OF COLUMBIA",2019,39,0
"FLORIDA",2019,39,1
"GEORGIA",2019,39,4
"MARYLAND",2019,39,0
"NORTH CAROLINA",2019,39,0
"SOUTH CAROLINA",2019,39,3
"VIRGINIA",2019,39,5
"WEST VIRGINIA",2019,39,0
"EAST SOUTH CENTRAL",2019,39,1
"ALABAMA",2019,39,0
"KENTUCKY",2019,39,1
"MISSISSIPPI",2019,39,0
"TENNESSEE",2019,39,0
"WEST SOUTH CENTRAL",2019,39,24
"ARKANSAS",2019,39,1
"LOUISIANA",2019,39,3
"OKLAHOMA",2019,39,3
"TEXAS",2019,39,17
"MOUNTAIN",2019,39,20
"ARIZONA",2019,39,1
"COLORADO",2019,39,7
"IDAHO",2019,39,6
"MONTANA",2019,39,0
"NEVADA",2019,39,0
"NEW MEXICO",2019,39,2
"UTAH",2019,39,3
"WYOMING",2019,39,1
"PACIFIC",2019,39,10
"ALASKA",2019,39,0
"CALIFORNIA",2019,39,7
"HAWAII",2019,39,0
"OREGON",2019,39,2
"WASHINGTON",2019,39,1
"US TERRITORIES",2019,39,0
"AMERICAN SAMOA",2019,39,0
"NORTHERN MARIANA ISLANDS",2019,39,0
"GUAM",2019,39,0
"PUERTO RICO",2019,39,0
"U.S. VIRGIN ISLANDS",2019,39,0
"NON-US RESIDENTS",2019,39,0
"TOTAL",2019,39,124
"US RESIDENTS",2019,40,117
"NEW ENGLAND",2019,40,4
"CONNECTICUT",2019,40,0
"MAINE",2019,40,1
"MASSACHUSETTS",2019,40,2
"NEW HAMPSHIRE",2019,40,0
"RHODE ISLAND",2019,40,0
"VERMONT",2019,40,1
"MIDDLE ATLANTIC",2019,40,7
"NEW JERSEY",2019,40,1
"NEW YORK",2019,40,0
"NEW YORK CITY",2019,40,0
"PENNSYLVANIA",2019,40,6
"EAST NORTH CENTRAL",2019,40,19
"ILLINOIS",2019,40,0
"INDIANA",2019,40,0
"MICHIGAN",2019,40,1
"OHIO",2019,40,15
"WISCONSIN",2019,40,3
"WEST NORTH CENTRAL",2019,40,11
"IOWA",2019,40,1
"KANSAS",2019,40,0
"MINNESOTA",2019,40,0
"MISSOURI",2019,40,6
"NEBRASKA",2019,40,3
"NORTH DAKOTA",2019,40,1
"SOUTH DAKOTA",2019,40,0
"SOUTH ATLANTIC",2019,40,17
"DELAWARE",2019,40,0
"DISTRICT OF COLUMBIA",2019,40,0
"FLORIDA",2019,40,0
"GEORGIA",2019,40,5
"MARYLAND",2019,40,4
"NORTH CAROLINA",2019,40,0
"SOUTH CAROLINA",2019,40,3
"VIRGINIA",2019,40,5
"WEST VIRGINIA",2019,40,0
"EAST SOUTH CENTRAL",2019,40,5
"ALABAMA",2019,40,2
"KENTUCKY",2019,40,0
"MISSISSIPPI",2019,40,0
"TENNESSEE",2019,40,3
"WEST SOUTH CENTRAL",2019,40,35
"ARKANSAS",2019,40,3
"LOUISIANA",2019,40,4
"OKLAHOMA",2019,40,3
"TEXAS",2019,40,25
"MOUNTAIN",2019,40,15
"ARIZONA",2019,40,2
"COLORADO",2019,40,6
"IDAHO",2019,40,4
"MONTANA",2019,40,0
"NEVADA",2019,40,1
"NEW MEXICO",2019,40,0
"UTAH",2019,40,2
"WYOMING",2019,40,0
"PACIFIC",2019,40,4
"ALASKA",2019,40,0
"CALIFORNIA",2019,40,2
"HAWAII",2019,40,0
"OREGON",2019,40,1
"WASHINGTON",2019,40,1
"US TERRITORIES",2019,40,0
"AMERICAN SAMOA",2019,40,0
"NORTHERN MARIANA ISLANDS",2019,40,0
"GUAM",2019,40,0
