Reporting Area,MMWR Year,MMWR Week,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Max†","Cryptosporidiosis, Previous 52 weeks Max†, flag","Cryptosporidiosis, Cum 2019†","Cryptosporidiosis, Cum 2019†, flag","Cryptosporidiosis, Cum 2018†","Cryptosporidiosis, Cum 2018†, flag","Cyclosporiasis, Current week","Cyclosporiasis, Current week, flag","Cyclosporiasis, Previous 52 weeks Max†","Cyclosporiasis, Previous 52 weeks Max†, flag","Cyclosporiasis, Cum 2019†","Cyclosporiasis, Cum 2019†, flag","Cyclosporiasis, Cum 2018†","Cyclosporiasis, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
ILLINOIS,2019,13,,-,21,,48,,35,,,-,397,,2,,2,,"ILLINOIS
(40.124144, -89.148632)",,20191315
VIRGINIA,2019,13,3,,17,,54,,64,,,-,5,,1,,,-,"VIRGINIA
(37.510861, -78.666382)",,20191336
TENNESSEE,2019,13,2,,10,,28,,51,,,-,3,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20191342
DISTRICT OF COLUMBIA,2019,13,,-,3,,3,,10,,,-,2,,,-,2,,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20191330
AMERICAN SAMOA,2019,13,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20191364
NEW JERSEY,2019,13,1,,12,,25,,16,,,-,8,,1,,3,,"NEW JERSEY
(40.110253, -74.655514)",,20191310
WASHINGTON,2019,13,,-,35,,39,,13,,,-,3,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20191362
OREGON,2019,13,3,,14,,53,,93,,,-,2,,,-,,-,"OREGON
(43.940449, -120.605279)",,20191361
WEST NORTH CENTRAL,2019,13,10,,68,,176,,224,,,-,87,,3,,4,,,WEST NORTH CENTRAL,20191320
CONNECTICUT,2019,13,1,,8,,20,,11,,,-,6,,,-,1,,"CONNECTICUT
(41.575155, -72.738288)",,20191303
NEW YORK CITY,2019,13,,-,12,,59,,28,,,-,11,,4,,2,,,NEW YORK CITY,20191312
SOUTH CAROLINA,2019,14,,-,6,,23,,29,,,-,1,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20191435
MARYLAND,2019,14,,-,7,,14,,10,,2,,7,,3,,,-,"MARYLAND
(38.946466, -76.687282)",,20191433
KENTUCKY,2019,14,,-,8,,15,,36,,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20191440
MASSACHUSETTS,2019,14,4,,18,,35,,38,,,-,6,,,-,3,,"MASSACHUSETTS
(42.151077, -71.481104)",,20191405
TENNESSEE,2019,14,3,,10,,35,,55,,,-,3,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20191442
SOUTH DAKOTA,2019,14,,-,15,,30,,21,,,-,12,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20191427
WEST NORTH CENTRAL,2019,14,8,,68,,204,,262,,,-,87,,3,,4,,,WEST NORTH CENTRAL,20191420
U.S. VIRGIN ISLANDS,2019,14,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20191468
NEW YORK,2019,14,7,,20,,57,,34,,,-,11,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20191411
MAINE,2019,14,,-,6,,2,,10,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20191404
EAST SOUTH CENTRAL,2019,14,3,,22,,107,,152,,,-,3,,,-,,-,,EAST SOUTH CENTRAL,20191438
OREGON,2019,14,1,,14,,55,,101,,,-,2,,,-,,-,"OREGON
(43.940449, -120.605279)",,20191461
INDIANA,2019,14,,-,21,,,-,48,,,-,21,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20191416
MICHIGAN,2019,14,2,,16,,60,,59,,,-,5,,1,,,-,"MICHIGAN
(44.874798, -85.730977)",,20191417
NEW YORK CITY,2019,14,,-,12,,61,,30,,,-,11,,4,,3,,,NEW YORK CITY,20191412
ARKANSAS,2019,14,,-,8,,22,,13,,,-,1,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20191444
DISTRICT OF COLUMBIA,2019,14,,-,3,,3,,10,,,-,2,,,-,2,,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20191430
MISSISSIPPI,2019,14,,-,8,,15,,20,,,N,,NC,,N,,N,"MISSISSIPPI
(32.713378, -89.65344)",,20191441
FLORIDA,2019,14,,-,27,,,-,121,,,-,9,,,-,1,,"FLORIDA
(28.260731, -82.420978)",,20191431
OHIO,2019,14,7,,36,,121,,151,,,-,23,,,-,,-,"OHIO
(40.415534, -82.70936)",,20191418
HAWAII,2019,14,,-,1,,2,,2,,,-,1,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20191460
ARIZONA,2019,14,,-,28,,25,,23,,,-,2,,1,,,-,"ARIZONA
(34.293239, -111.664616)",,20191449
NORTH CAROLINA,2019,14,,-,12,,40,,37,,,-,6,,1,,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20191434
WYOMING,2019,14,,-,2,,,-,1,,,-,1,,,-,1,,"WYOMING
(42.999627, -107.55145)",,20191456
WEST SOUTH CENTRAL,2019,14,10,,64,,160,,171,,,-,49,,2,,2,,,WEST SOUTH CENTRAL,20191443
NEW JERSEY,2019,14,,-,12,,27,,17,,,-,8,,1,,4,,"NEW JERSEY
(40.110253, -74.655514)",,20191410
GEORGIA,2019,14,1,,27,,55,,58,,,-,7,,1,,1,,"GEORGIA
(32.638481, -83.426574)",,20191432
NEBRASKA,2019,14,5,,9,,35,,21,,,-,5,,1,,1,,"NEBRASKA
(41.527099, -99.810595)",,20191425
MISSOURI,2019,14,1,,19,,42,,66,,,-,30,,2,,,-,"MISSOURI
(38.3675, -92.477244)",,20191424
NEW MEXICO,2019,14,,-,10,,9,,11,,,-,1,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20191454
VIRGINIA,2019,14,,-,17,,54,,64,,,-,5,,1,,,-,"VIRGINIA
(37.510861, -78.666382)",,20191436
OKLAHOMA,2019,14,1,,10,,23,,16,,,N,,NC,,N,,N,"OKLAHOMA
(35.583449, -97.508297)",,20191446
CONNECTICUT,2019,14,,-,8,,21,,11,,,-,6,,,-,1,,"CONNECTICUT
(41.575155, -72.738288)",,20191403
RHODE ISLAND,2019,14,,-,37,,3,,8,,,-,2,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20191407
IOWA,2019,14,1,,40,,80,,129,,,-,75,,,-,3,,"IOWA
(42.074659, -93.500061)",,20191421
PUERTO RICO,2019,14,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20191467
NEW ENGLAND,2019,14,4,,48,,87,,88,,,-,10,,,-,4,,,NEW ENGLAND,20191402
KANSAS,2019,14,,-,7,,15,,14,,,-,4,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20191422
EAST NORTH CENTRAL,2019,14,14,,119,,330,,429,,,-,455,,4,,3,,,EAST NORTH CENTRAL,20191414
SOUTH ATLANTIC,2019,14,1,,74,,196,,349,,2,,27,,6,,4,,,SOUTH ATLANTIC,20191428
VERMONT,2019,14,,-,10,,7,,7,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20191408
PENNSYLVANIA,2019,14,4,,20,,82,,76,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.896694, -77.838886)",,20191413
MIDDLE ATLANTIC,2019,14,11,,51,,227,,157,,,-,24,,5,,7,,,MIDDLE ATLANTIC,20191409
US TERRITORIES,2019,14,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20191463
WEST VIRGINIA,2019,14,,-,6,,6,,11,,,-,2,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20191437
US RESIDENTS,2019,14,61,,438,,1617,,1958,,2,,576,,22,,29,,,US RESIDENTS,20191401
ALASKA,2019,14,,-,2,,,-,2,,,-,1,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20191458
PACIFIC,2019,14,3,,45,,189,,224,,,-,26,,1,,,-,,PACIFIC,20191457
DELAWARE,2019,14,,-,4,,1,,9,,,-,3,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20191429
IDAHO,2019,14,1,,7,,22,,24,,,N,,NC,,N,,N,"IDAHO
(44.389073, -114.659366)",,20191451
MINNESOTA,2019,14,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20191423
TEXAS,2019,14,1,,53,,102,,108,,,-,40,,2,,2,,"TEXAS
(31.447238, -99.317341)",,20191447
MONTANA,2019,14,1,,5,,6,,12,,,-,3,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20191452
NEVADA,2019,14,,-,6,,6,,1,,,N,,NC,,N,,N,"NEVADA
(39.283294, -114.916992)",,20191453
COLORADO,2019,14,5,,11,,24,,36,,,-,6,,,-,3,,"COLORADO
(38.998552, -105.547832)",,20191450
UTAH,2019,14,,-,18,,25,,18,,,-,5,,,-,1,,"UTAH
(39.323779, -111.678222)",,20191455
ILLINOIS,2019,14,,-,21,,51,,41,,,-,397,,3,,2,,"ILLINOIS
(40.124144, -89.148632)",,20191415
NEW HAMPSHIRE,2019,14,,-,7,,19,,14,,,-,2,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20191406
WISCONSIN,2019,14,5,,48,,98,,130,,,-,141,,,-,1,,"WISCONSIN
(44.639954, -89.732969)",,20191419
ALABAMA,2019,14,,-,8,,42,,41,,,N,,NC,,N,,N,"ALABAMA
(32.756889, -86.844516)",,20191439
LOUISIANA,2019,14,8,,9,,13,,34,,,-,2,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20191445
NON-US RESIDENTS,2019,14,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20191469
TOTAL,2019,14,61,,438,,1617,,1958,,2,,576,,22,,29,,,TOTAL,20191470
CALIFORNIA,2019,14,1,,26,,92,,104,,,-,23,,1,,,-,"CALIFORNIA
(37.211164, -119.662127)",,20191459
NORTHERN MARIANA ISLANDS,2019,14,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20191465
MOUNTAIN,2019,14,7,,59,,117,,126,,,-,12,,1,,5,,,MOUNTAIN,20191448
WASHINGTON,2019,14,1,,35,,40,,15,,,-,3,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20191462
NORTH DAKOTA,2019,14,1,,4,,2,,11,,,N,,NC,,N,,N,"NORTH DAKOTA
(47.446305, -100.46931)",,20191426
TENNESSEE,2019,15,,-,10,,36,,63,,,-,3,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20191542
DELAWARE,2019,15,,-,4,,2,,9,,,-,3,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20191529
TEXAS,2019,15,9,,53,,120,,117,,,-,40,,2,,2,,"TEXAS
(31.447238, -99.317341)",,20191547
ILLINOIS,2019,15,,-,21,,56,,47,,,-,397,,4,,2,,"ILLINOIS
(40.124144, -89.148632)",,20191515
OHIO,2019,15,12,,36,,133,,162,,,-,23,,,-,,-,"OHIO
(40.415534, -82.70936)",,20191518
HAWAII,2019,15,,-,1,,2,,2,,,-,1,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20191560
ARKANSAS,2019,15,,-,8,,22,,15,,,-,1,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20191544
RHODE ISLAND,2019,15,,-,37,,4,,12,,,-,2,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20191507
WEST SOUTH CENTRAL,2019,15,13,,64,,183,,188,,,-,49,,2,,2,,,WEST SOUTH CENTRAL,20191543
KANSAS,2019,15,,-,7,,19,,17,,,-,4,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20191522
LOUISIANA,2019,15,1,,9,,15,,39,,,-,2,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20191545
OREGON,2019,15,4,,14,,62,,111,,,-,2,,,-,,-,"OREGON
(43.940449, -120.605279)",,20191561
GUAM,2019,15,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20191566
DISTRICT OF COLUMBIA,2019,15,,-,3,,5,,10,,,-,2,,,-,2,,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20191530
CONNECTICUT,2019,15,,-,8,,21,,12,,,-,6,,,-,1,,"CONNECTICUT
(41.575155, -72.738288)",,20191503
AMERICAN SAMOA,2019,15,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20191564
MOUNTAIN,2019,15,2,,59,,133,,143,,,-,12,,2,,8,,,MOUNTAIN,20191548
U.S. VIRGIN ISLANDS,2019,15,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20191568
INDIANA,2019,15,,-,21,,,-,53,,,-,21,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20191516
EAST NORTH CENTRAL,2019,15,14,,119,,359,,475,,,-,455,,5,,3,,,EAST NORTH CENTRAL,20191514
MINNESOTA,2019,15,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20191523
VIRGINIA,2019,15,8,,17,,72,,65,,,-,5,,1,,,-,"VIRGINIA
(37.510861, -78.666382)",,20191536
CALIFORNIA,2019,15,5,,26,,112,,115,,,-,23,,3,,1,,"CALIFORNIA
(37.211164, -119.662127)",,20191559
MIDDLE ATLANTIC,2019,15,14,,51,,249,,164,,,-,24,,5,,7,,,MIDDLE ATLANTIC,20191509
NEW YORK CITY,2019,15,,-,12,,66,,30,,,-,11,,4,,3,,,NEW YORK CITY,20191512
NEVADA,2019,15,,-,6,,6,,2,,,N,,NC,,N,,N,"NEVADA
(39.283294, -114.916992)",,20191553
MONTANA,2019,15,,-,5,,7,,15,,,-,3,,1,,,-,"MONTANA
(47.033521, -109.645127)",,20191552
ALABAMA,2019,15,1,,8,,44,,49,,,N,,NC,,N,,N,"ALABAMA
(32.756889, -86.844516)",,20191539
SOUTH ATLANTIC,2019,15,12,,74,,230,,361,,,-,27,,6,,4,,,SOUTH ATLANTIC,20191528
MAINE,2019,15,1,,6,,4,,12,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20191504
COLORADO,2019,15,1,,11,,31,,39,,,-,6,,,-,4,,"COLORADO
(38.998552, -105.547832)",,20191550
EAST SOUTH CENTRAL,2019,15,1,,22,,112,,169,,,-,3,,,-,,-,,EAST SOUTH CENTRAL,20191538
PACIFIC,2019,15,9,,45,,219,,249,,,-,26,,4,,1,,,PACIFIC,20191557
NORTH CAROLINA,2019,15,,-,12,,46,,40,,,-,6,,1,,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20191534
ALASKA,2019,15,,-,2,,,-,3,,,-,1,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20191558
WASHINGTON,2019,15,,-,35,,43,,18,,,-,3,,1,,,-,"WASHINGTON
(47.411715, -120.592492)",,20191562
WEST VIRGINIA,2019,15,,-,6,,6,,12,,,-,2,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20191537
ARIZONA,2019,15,,-,28,,29,,25,,,-,2,,1,,,-,"ARIZONA
(34.293239, -111.664616)",,20191549
MISSISSIPPI,2019,15,,-,8,,15,,20,,,N,,NC,,N,,N,"MISSISSIPPI
(32.713378, -89.65344)",,20191541
VERMONT,2019,15,,-,10,,9,,8,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20191508
OKLAHOMA,2019,15,3,,10,,26,,17,,,N,,NC,,N,,N,"OKLAHOMA
(35.583449, -97.508297)",,20191546
PUERTO RICO,2019,15,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20191567
NEW HAMPSHIRE,2019,15,,-,7,,20,,15,,,-,2,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20191506
PENNSYLVANIA,2019,15,7,,20,,90,,83,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.896694, -77.838886)",,20191513
NEW MEXICO,2019,15,,-,10,,10,,11,,,-,1,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20191554
SOUTH DAKOTA,2019,15,,-,15,,31,,31,,,-,12,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20191527
NORTH DAKOTA,2019,15,,-,4,,2,,12,,,N,,NC,,N,,N,"NORTH DAKOTA
(47.446305, -100.46931)",,20191526
NON-US RESIDENTS,2019,15,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20191569
US TERRITORIES,2019,15,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20191563
WYOMING,2019,15,,-,2,,,-,1,,,-,1,,,-,2,,"WYOMING
(42.999627, -107.55145)",,20191556
NEW JERSEY,2019,15,,-,12,,30,,17,,,-,8,,1,,4,,"NEW JERSEY
(40.110253, -74.655514)",,20191510
MISSOURI,2019,15,1,,19,,43,,69,,,-,30,,2,,1,,"MISSOURI
(38.3675, -92.477244)",,20191524
TOTAL,2019,15,70,,438,,1801,,2140,,,-,576,,27,,34,,,TOTAL,20191570
IDAHO,2019,15,,-,7,,22,,27,,,N,,NC,,N,,N,"IDAHO
(44.389073, -114.659366)",,20191551
FLORIDA,2019,15,,-,27,,,-,125,,,-,9,,,-,1,,"FLORIDA
(28.260731, -82.420978)",,20191531
WEST NORTH CENTRAL,2019,15,2,,68,,218,,292,,,-,87,,3,,5,,,WEST NORTH CENTRAL,20191520
NEBRASKA,2019,15,1,,9,,37,,27,,,-,5,,1,,1,,"NEBRASKA
(41.527099, -99.810595)",,20191525
WISCONSIN,2019,15,1,,48,,102,,145,,,-,141,,,-,1,,"WISCONSIN
(44.639954, -89.732969)",,20191519
GEORGIA,2019,15,4,,27,,62,,61,,,-,7,,1,,1,,"GEORGIA
(32.638481, -83.426574)",,20191532
IOWA,2019,15,,-,40,,86,,136,,,-,75,,,-,3,,"IOWA
(42.074659, -93.500061)",,20191521
NEW YORK,2019,15,7,,20,,63,,34,,,-,11,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20191511
NORTHERN MARIANA ISLANDS,2019,15,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20191565
MICHIGAN,2019,15,1,,16,,68,,68,,,-,5,,1,,,-,"MICHIGAN
(44.874798, -85.730977)",,20191517
UTAH,2019,15,1,,18,,28,,23,,,-,5,,,-,2,,"UTAH
(39.323779, -111.678222)",,20191555
KENTUCKY,2019,15,,-,8,,17,,37,,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20191540
MASSACHUSETTS,2019,15,2,,18,,40,,40,,,-,6,,,-,3,,"MASSACHUSETTS
(42.151077, -71.481104)",,20191505
NEW ENGLAND,2019,15,3,,48,,98,,99,,,-,10,,,-,4,,,NEW ENGLAND,20191502
MARYLAND,2019,15,,-,7,,14,,10,,,-,7,,3,,,-,"MARYLAND
(38.946466, -76.687282)",,20191533
US RESIDENTS,2019,15,70,,438,,1801,,2140,,,-,576,,27,,34,,,US RESIDENTS,20191501
SOUTH CAROLINA,2019,15,,-,6,,23,,29,,,-,1,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20191535
US RESIDENTS,2019,16,61,,438,,1955,,2341,,,-,579,,29,,40,,,US RESIDENTS,20191601
NEW ENGLAND,2019,16,5,,48,,107,,119,,,-,10,,1,,4,,,NEW ENGLAND,20191602
CONNECTICUT,2019,16,1,,8,,23,,12,,,-,6,,1,,1,,"CONNECTICUT
(41.575155, -72.738288)",,20191603
MAINE,2019,16,1,,6,,5,,14,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20191604
MASSACHUSETTS,2019,16,3,,18,,45,,47,,,-,6,,,-,3,,"MASSACHUSETTS
(42.151077, -71.481104)",,20191605
NEW HAMPSHIRE,2019,16,,-,7,,21,,16,,,-,2,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20191606
RHODE ISLAND,2019,16,,-,37,,4,,21,,,-,2,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20191607
VERMONT,2019,16,,-,10,,9,,9,,,-,1,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20191608
MIDDLE ATLANTIC,2019,16,10,,51,,270,,180,,,-,24,,6,,8,,,MIDDLE ATLANTIC,20191609
NEW JERSEY,2019,16,,-,12,,37,,18,,,-,8,,2,,5,,"NEW JERSEY
(40.110253, -74.655514)",,20191610
NEW YORK,2019,16,7,,20,,69,,39,,,-,11,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20191611
NEW YORK CITY,2019,16,,-,12,,73,,36,,,-,11,,4,,3,,,NEW YORK CITY,20191612
PENNSYLVANIA,2019,16,3,,20,,91,,87,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.896694, -77.838886)",,20191613
EAST NORTH CENTRAL,2019,16,15,,119,,385,,513,,,-,458,,5,,4,,,EAST NORTH CENTRAL,20191614
ILLINOIS,2019,16,,-,21,,59,,54,,,-,400,,4,,2,,"ILLINOIS
(40.124144, -89.148632)",,20191615
INDIANA,2019,16,,-,21,,,-,61,,,-,21,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20191616
MICHIGAN,2019,16,,-,16,,68,,71,,,-,5,,1,,,-,"MICHIGAN
(44.874798, -85.730977)",,20191617
OHIO,2019,16,9,,36,,142,,171,,,-,23,,,-,,-,"OHIO
(40.415534, -82.70936)",,20191618
WISCONSIN,2019,16,6,,48,,116,,156,,,-,141,,,-,2,,"WISCONSIN
(44.639954, -89.732969)",,20191619
WEST NORTH CENTRAL,2019,16,5,,68,,243,,327,,,-,87,,3,,5,,,WEST NORTH CENTRAL,20191620
IOWA,2019,16,1,,40,,102,,150,,,-,75,,,-,3,,"IOWA
(42.074659, -93.500061)",,20191621
KANSAS,2019,16,,-,7,,19,,20,,,-,4,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20191622
MINNESOTA,2019,16,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20191623
MISSOURI,2019,16,1,,19,,48,,74,,,-,30,,2,,1,,"MISSOURI
(38.3675, -92.477244)",,20191624
NEBRASKA,2019,16,3,,9,,41,,33,,,-,5,,1,,1,,"NEBRASKA
(41.527099, -99.810595)",,20191625
NORTH DAKOTA,2019,16,,-,4,,2,,16,,,N,,NC,,N,,N,"NORTH DAKOTA
(47.446305, -100.46931)",,20191626
SOUTH DAKOTA,2019,16,,-,15,,31,,34,,,-,12,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20191627
SOUTH ATLANTIC,2019,16,8,,74,,242,,387,,,-,27,,6,,5,,,SOUTH ATLANTIC,20191628
DELAWARE,2019,16,,-,4,,2,,9,,,-,3,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20191629
DISTRICT OF COLUMBIA,2019,16,,-,3,,5,,11,,,-,2,,,-,2,,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20191630
FLORIDA,2019,16,,-,27,,,-,131,,,-,9,,,-,1,,"FLORIDA
(28.260731, -82.420978)",,20191631
GEORGIA,2019,16,,-,27,,63,,67,,,-,7,,1,,1,,"GEORGIA
(32.638481, -83.426574)",,20191632
MARYLAND,2019,16,1,,7,,15,,12,,,-,7,,3,,1,,"MARYLAND
(38.946466, -76.687282)",,20191633
NORTH CAROLINA,2019,16,,-,12,,47,,43,,,-,6,,1,,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20191634
SOUTH CAROLINA,2019,16,,-,6,,23,,31,,,-,1,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20191635
VIRGINIA,2019,16,7,,17,,81,,69,,,-,5,,1,,,-,"VIRGINIA
(37.510861, -78.666382)",,20191636
WEST VIRGINIA,2019,16,,-,6,,6,,14,,,-,2,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20191637
EAST SOUTH CENTRAL,2019,16,,-,22,,119,,186,,,-,3,,,-,,-,,EAST SOUTH CENTRAL,20191638
ALABAMA,2019,16,,-,7,,45,,52,,,N,,NC,,N,,N,"ALABAMA
(32.756889, -86.844516)",,20191639
KENTUCKY,2019,16,,-,8,,17,,42,,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20191640
MISSISSIPPI,2019,16,,-,8,,17,,21,,,N,,NC,,N,,N,"MISSISSIPPI
(32.713378, -89.65344)",,20191641
TENNESSEE,2019,16,,-,10,,40,,71,,,-,3,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20191642
WEST SOUTH CENTRAL,2019,16,9,,64,,200,,205,,,-,49,,2,,2,,,WEST SOUTH CENTRAL,20191643
ARKANSAS,2019,16,1,,8,,31,,17,,,-,1,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20191644
LOUISIANA,2019,16,6,,9,,21,,40,,,-,2,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20191645
OKLAHOMA,2019,16,2,,10,,28,,22,,,N,,NC,,N,,N,"OKLAHOMA
(35.583449, -97.508297)",,20191646
TEXAS,2019,16,,-,53,,120,,126,,,-,40,,2,,2,,"TEXAS
(31.447238, -99.317341)",,20191647
MOUNTAIN,2019,16,5,,59,,144,,157,,,-,12,,2,,10,,,MOUNTAIN,20191648
ARIZONA,2019,16,,-,28,,29,,27,,,-,2,,1,,1,,"ARIZONA
(34.293239, -111.664616)",,20191649
COLORADO,2019,16,1,,11,,32,,43,,,-,6,,,-,4,,"COLORADO
(38.998552, -105.547832)",,20191650
IDAHO,2019,16,,-,7,,22,,27,,,N,,NC,,N,,N,"IDAHO
(44.389073, -114.659366)",,20191651
MONTANA,2019,16,1,,5,,10,,15,,,-,3,,1,,,-,"MONTANA
(47.033521, -109.645127)",,20191652
NEVADA,2019,16,,-,6,,6,,2,,,N,,NC,,N,,N,"NEVADA
(39.283294, -114.916992)",,20191653
NEW MEXICO,2019,16,,-,10,,11,,16,,,-,1,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20191654
UTAH,2019,16,3,,18,,34,,25,,,-,5,,,-,2,,"UTAH
(39.323779, -111.678222)",,20191655
WYOMING,2019,16,,-,2,,,-,2,,,-,1,,,-,3,,"WYOMING
(42.999627, -107.55145)",,20191656
PACIFIC,2019,16,4,,45,,245,,267,,,-,26,,4,,2,,,PACIFIC,20191657
ALASKA,2019,16,,-,2,,,-,3,,,-,1,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20191658
CALIFORNIA,2019,16,,-,26,,119,,124,,,-,23,,3,,2,,"CALIFORNIA
(37.211164, -119.662127)",,20191659
HAWAII,2019,16,,-,1,,2,,2,,,-,1,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20191660
OREGON,2019,16,2,,14,,66,,119,,,-,2,,,-,,-,"OREGON
(43.940449, -120.605279)",,20191661
WASHINGTON,2019,16,2,,35,,58,,19,,,-,3,,1,,,-,"WASHINGTON
(47.411715, -120.592492)",,20191662
US TERRITORIES,2019,16,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20191663
AMERICAN SAMOA,2019,16,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20191664
NORTHERN MARIANA ISLANDS,2019,16,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20191665
GUAM,2019,16,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20191666
